"id","displayOrder","rating","position","oldRemovable","oldStepType","oldModel","stratum"
"prm-71ed47ae96c446e4","113","0","early","yes","redundant","deepseek/deepseek-v4-flash","0|early|yes|deepseek/deepseek-v4-flash"
"prm-64bd046dccaa7a10","120","0","late","yes","redundant","deepseek/deepseek-v4-pro","0|late|yes|deepseek/deepseek-v4-pro"
"prm-bd5151d40527ffa0","123","0","middle","yes","redundant","deepseek/deepseek-v4-flash","0|middle|yes|deepseek/deepseek-v4-flash"
"prm-8169dadf3bfeafa7","125","1","late","no","essential","deepseek/deepseek-v4-flash","1|late|no|deepseek/deepseek-v4-flash"
"prm-f06f20e73957e088","131","1","middle","no","essential","deepseek/deepseek-v4-flash","1|middle|no|deepseek/deepseek-v4-flash"
"prm-f59567dc389816f6","132","-1","early","yes","harmful","deepseek/deepseek-v4-flash","-1|early|yes|deepseek/deepseek-v4-flash"
"prm-94b3b2909358d23e","138","1","early","yes","redundant","deepseek/deepseek-v4-flash","1|early|yes|deepseek/deepseek-v4-flash"
"prm-ca8fbd8bc5e76268","142","1","early","no","essential","deepseek/deepseek-v4-flash","1|early|no|deepseek/deepseek-v4-flash"
"prm-4d106f224c1f1477","148","0","middle","yes","redundant","deepseek/deepseek-v4-flash","0|middle|yes|deepseek/deepseek-v4-flash"
"prm-85a91c7360442cec","150","-1","middle","no","harmful","deepseek/deepseek-v4-flash","-1|middle|no|deepseek/deepseek-v4-flash"
"prm-2694ff7bb4a98ca8","152","0","early","yes","redundant","deepseek/deepseek-v4-flash","0|early|yes|deepseek/deepseek-v4-flash"
"prm-c3c805b2888f0c71","155","-1","early","no","harmful","deepseek/deepseek-v4-flash","-1|early|no|deepseek/deepseek-v4-flash"
"prm-49db7302a176b729","156","0","early","yes","harmful","deepseek/deepseek-v4-pro","0|early|yes|deepseek/deepseek-v4-pro"
"prm-b1b1d1fed6ca6e88","167","0","early","yes","redundant","deepseek/deepseek-v4-flash","0|early|yes|deepseek/deepseek-v4-flash"
"prm-67c15cd755da8374","171","1","early","no","essential","deepseek/deepseek-v4-flash","1|early|no|deepseek/deepseek-v4-flash"
"prm-e8da447d3e7aeca5","174","-1","early","no","harmful","deepseek/deepseek-v4-pro","-1|early|no|deepseek/deepseek-v4-pro"
"prm-1988846108e0f682","176","0","early","no","essential","deepseek/deepseek-v4-pro","0|early|no|deepseek/deepseek-v4-pro"
"prm-df9bfb129e27eea5","183","0","middle","no","harmful","deepseek/deepseek-v4-pro","0|middle|no|deepseek/deepseek-v4-pro"
"prm-6c647c9d900edecf","203","0","late","no","essential","deepseek/deepseek-v4-pro","0|late|no|deepseek/deepseek-v4-pro"
"prm-c5d0b2ae9f6de94a","205","1","middle","yes","redundant","deepseek/deepseek-v4-flash","1|middle|yes|deepseek/deepseek-v4-flash"
"prm-73806d5bdc6ee15f","207","0","late","yes","redundant","deepseek/deepseek-v4-pro","0|late|yes|deepseek/deepseek-v4-pro"
"prm-b30d7b8afa669a70","218","-1","early","no","essential","deepseek/deepseek-v4-pro","-1|early|no|deepseek/deepseek-v4-pro"
"prm-2a5b9be75f2130c8","224","-1","early","no","harmful","deepseek/deepseek-v4-flash","-1|early|no|deepseek/deepseek-v4-flash"
"prm-499e50d1f2d6148c","233","-1","early","yes","harmful","deepseek/deepseek-v4-flash","-1|early|yes|deepseek/deepseek-v4-flash"
"prm-47679397406393e0","238","1","early","yes","redundant","deepseek/deepseek-v4-flash","1|early|yes|deepseek/deepseek-v4-flash"
"prm-1b82baadae1514fc","239","-1","early","no","harmful","deepseek/deepseek-v4-flash","-1|early|no|deepseek/deepseek-v4-flash"
"prm-77a86cb6e4dfd1aa","258","1","middle","no","essential","deepseek/deepseek-v4-flash","1|middle|no|deepseek/deepseek-v4-flash"
"prm-3ef9d1189683f74d","263","-1","late","no","harmful","deepseek/deepseek-v4-flash","-1|late|no|deepseek/deepseek-v4-flash"
"prm-92cd9c4d155c7994","270","0","early","yes","redundant","deepseek/deepseek-v4-flash","0|early|yes|deepseek/deepseek-v4-flash"
"prm-00177cb1b6246e3e","274","1","late","no","essential","deepseek/deepseek-v4-flash","1|late|no|deepseek/deepseek-v4-flash"
"prm-9aefc3c8b6098bf4","277","0","early","no","essential","deepseek/deepseek-v4-pro","0|early|no|deepseek/deepseek-v4-pro"
"prm-fa87724dc0063e72","279","-1","late","no","harmful","deepseek/deepseek-v4-flash","-1|late|no|deepseek/deepseek-v4-flash"
"prm-3490f4298028248f","301","0","middle","no","harmful","deepseek/deepseek-v4-pro","0|middle|no|deepseek/deepseek-v4-pro"
"prm-060b37de44a23f9c","304","1","late","yes","redundant","deepseek/deepseek-v4-flash","1|late|yes|deepseek/deepseek-v4-flash"
"prm-bd9c89c30ff0439e","316","1","late","no","essential","deepseek/deepseek-v4-flash","1|late|no|deepseek/deepseek-v4-flash"
"prm-8cc3ef6509ad6fbf","317","1","early","no","essential","deepseek/deepseek-v4-flash","1|early|no|deepseek/deepseek-v4-flash"
"prm-1fa85012955acc38","322","1","early","no","essential","deepseek/deepseek-v4-flash","1|early|no|deepseek/deepseek-v4-flash"
"prm-b8457436293d4e60","328","-1","late","yes","harmful","deepseek/deepseek-v4-flash","-1|late|yes|deepseek/deepseek-v4-flash"
"prm-9ef4a4362f8a777c","329","0","middle","no","essential","deepseek/deepseek-v4-pro","0|middle|no|deepseek/deepseek-v4-pro"
"prm-4c8c15a6cba67d79","331","1","early","yes","redundant","deepseek/deepseek-v4-flash","1|early|yes|deepseek/deepseek-v4-flash"
"prm-64052b65a1c192c7","334","-1","late","no","harmful","deepseek/deepseek-v4-flash","-1|late|no|deepseek/deepseek-v4-flash"
"prm-694eda0133adae37","341","0","middle","yes","redundant","deepseek/deepseek-v4-flash","0|middle|yes|deepseek/deepseek-v4-flash"
"prm-6c4e585fba73949f","342","-1","middle","no","harmful","deepseek/deepseek-v4-flash","-1|middle|no|deepseek/deepseek-v4-flash"
"prm-de2964131ac70829","345","1","early","no","harmful","deepseek/deepseek-v4-pro","1|early|no|deepseek/deepseek-v4-pro"
"prm-4dece02217f93500","354","0","late","yes","redundant","deepseek/deepseek-v4-flash","0|late|yes|deepseek/deepseek-v4-flash"
"prm-2d6ec7aa85de8014","355","0","middle","yes","redundant","deepseek/deepseek-v4-pro","0|middle|yes|deepseek/deepseek-v4-pro"
"prm-dc919cb80f6423eb","356","0","early","yes","redundant","deepseek/deepseek-v4-pro","0|early|yes|deepseek/deepseek-v4-pro"
"prm-370bf73e2c4bd7d0","359","1","middle","no","essential","deepseek/deepseek-v4-flash","1|middle|no|deepseek/deepseek-v4-flash"
"prm-1fdd16bd5ee2ebb1","362","0","early","no","harmful","deepseek/deepseek-v4-pro","0|early|no|deepseek/deepseek-v4-pro"
"prm-4b2cde83a58c010f","363","0","late","no","harmful","deepseek/deepseek-v4-pro","0|late|no|deepseek/deepseek-v4-pro"
"prm-12bc5c8b425e5765","368","1","late","no","essential","deepseek/deepseek-v4-flash","1|late|no|deepseek/deepseek-v4-flash"
"prm-c01bc07ec8bcb448","379","-1","early","yes","harmful","deepseek/deepseek-v4-flash","-1|early|yes|deepseek/deepseek-v4-flash"
"prm-49dfa9357a3a5686","387","0","late","no","essential","deepseek/deepseek-v4-pro","0|late|no|deepseek/deepseek-v4-pro"
"prm-91df52b1208ea81d","390","1","late","no","essential","deepseek/deepseek-v4-flash","1|late|no|deepseek/deepseek-v4-flash"
"prm-27e89528dea4c565","394","0","early","yes","redundant","deepseek/deepseek-v4-pro","0|early|yes|deepseek/deepseek-v4-pro"
"prm-b09e1aa4bb87ee7c","399","1","late","no","harmful","deepseek/deepseek-v4-pro","1|late|no|deepseek/deepseek-v4-pro"
"prm-c95d41ec650cb773","410","-1","middle","yes","harmful","deepseek/deepseek-v4-flash","-1|middle|yes|deepseek/deepseek-v4-flash"
"prm-08169263b46b6a22","414","1","middle","no","essential","deepseek/deepseek-v4-flash","1|middle|no|deepseek/deepseek-v4-flash"
"prm-5636d3dc1eb6633f","415","-1","middle","no","harmful","deepseek/deepseek-v4-pro","-1|middle|no|deepseek/deepseek-v4-pro"
"prm-e340bad68ddf9e2d","418","0","late","yes","redundant","deepseek/deepseek-v4-flash","0|late|yes|deepseek/deepseek-v4-flash"
"prm-84b3c6777c806334","422","-1","middle","no","harmful","deepseek/deepseek-v4-flash","-1|middle|no|deepseek/deepseek-v4-flash"
"prm-359b37145eea0ad1","433","1","middle","yes","redundant","deepseek/deepseek-v4-pro","1|middle|yes|deepseek/deepseek-v4-pro"
"prm-d7cd2fc406477b13","439","0","middle","no","essential","deepseek/deepseek-v4-pro","0|middle|no|deepseek/deepseek-v4-pro"
"prm-b5f8d24593f1e708","440","0","late","yes","redundant","deepseek/deepseek-v4-flash","0|late|yes|deepseek/deepseek-v4-flash"
"prm-b8e3cc348f791b5a","442","-1","late","yes","harmful","deepseek/deepseek-v4-flash","-1|late|yes|deepseek/deepseek-v4-flash"
"prm-eadb47af80561526","448","-1","late","no","harmful","deepseek/deepseek-v4-flash","-1|late|no|deepseek/deepseek-v4-flash"
"prm-82a7dbd4bea9c49f","456","-1","late","no","harmful","deepseek/deepseek-v4-flash","-1|late|no|deepseek/deepseek-v4-flash"
"prm-e8138a79d9f11b5f","461","1","late","yes","redundant","deepseek/deepseek-v4-flash","1|late|yes|deepseek/deepseek-v4-flash"
"prm-a795bb4c871ed999","462","-1","middle","no","harmful","deepseek/deepseek-v4-flash","-1|middle|no|deepseek/deepseek-v4-flash"
"prm-afb60f3ac0dd9a0b","463","0","middle","no","harmful","deepseek/deepseek-v4-pro","0|middle|no|deepseek/deepseek-v4-pro"
"prm-e5a3f23bd55fe87a","479","-1","middle","no","harmful","deepseek/deepseek-v4-flash","-1|middle|no|deepseek/deepseek-v4-flash"
"prm-901a3aa77c6c4dc2","481","1","middle","no","harmful","deepseek/deepseek-v4-pro","1|middle|no|deepseek/deepseek-v4-pro"
"prm-6f55f9ad3924eda5","483","0","late","yes","redundant","deepseek/deepseek-v4-flash","0|late|yes|deepseek/deepseek-v4-flash"
"prm-1984cb49b132bdb6","487","0","middle","yes","harmful","deepseek/deepseek-v4-pro","0|middle|yes|deepseek/deepseek-v4-pro"
"prm-4ed42d1c12397218","495","-1","middle","no","harmful","deepseek/deepseek-v4-flash","-1|middle|no|deepseek/deepseek-v4-flash"
"prm-a50457954dbd885f","502","1","middle","yes","redundant","deepseek/deepseek-v4-flash","1|middle|yes|deepseek/deepseek-v4-flash"
"prm-dfdb549c682c7822","509","-1","early","no","harmful","deepseek/deepseek-v4-flash","-1|early|no|deepseek/deepseek-v4-flash"
"prm-f209abf6bbcf46bb","530","-1","late","no","harmful","deepseek/deepseek-v4-flash","-1|late|no|deepseek/deepseek-v4-flash"
"prm-5f58d3f9cdbdd4cd","531","1","middle","yes","redundant","deepseek/deepseek-v4-flash","1|middle|yes|deepseek/deepseek-v4-flash"
"prm-7fa27f0af15756ce","574","1","middle","no","essential","deepseek/deepseek-v4-flash","1|middle|no|deepseek/deepseek-v4-flash"
"prm-8eab1f56bd806ddc","590","1","late","yes","redundant","deepseek/deepseek-v4-flash","1|late|yes|deepseek/deepseek-v4-flash"
"prm-68f28d955828cf44","591","-1","middle","no","harmful","deepseek/deepseek-v4-flash","-1|middle|no|deepseek/deepseek-v4-flash"
"prm-ddb44dca9b82bb3d","597","1","early","no","essential","deepseek/deepseek-v4-flash","1|early|no|deepseek/deepseek-v4-flash"
