step_id,problem_id,fold
prm-14c0129055d497b2,problem-f75c04ea2e983a23,2
prm-d987eb66b5f962dd,problem-89ee4e5ddd25b8e0,2
prm-372caf3f76fece1c,problem-cf3312d83cf0bc46,1
prm-9a884b78e7527ff9,problem-4928f50ac88f7a16,1
prm-236816577f8edaf6,problem-f6faf09783c45a37,0
prm-9f3753744da09c38,problem-81dd044c95a0fca3,0
prm-f80db588fbe79fa9,problem-3b95366916efe8e8,4
prm-32b52a14659d1e3f,problem-89f1d351159d3b1e,2
prm-12c0e402310b4521,problem-f63d2aeb1dcb4877,0
prm-2c6c822e00040ba8,problem-bf1b475d2d82a865,1
prm-6a6a0bdb19ba41d4,problem-5567e2ebab5e0f67,0
prm-e46e6f9adff3443b,problem-5b29870e6b483cee,2
prm-60717bf0ef4716f2,problem-a8c4001358470f25,2
prm-d018213d57c7afde,problem-db4c0ed2fbf94208,4
prm-4fe0f9ece87f57df,problem-e684634d63b6e43e,2
prm-26cc0e5d412214d1,problem-7fc009d3f808cafe,1
prm-14b4f8d6eb13ea00,problem-25b30ae82b7937f0,2
prm-23547b2809b8fcf4,problem-02480d2c0415a281,3
prm-76b2b2177dea50be,problem-27304254dfee5d97,1
prm-aca8e5373e4b0749,problem-f5ace075c490ab02,2
prm-ee1dd46f28f6c0e7,problem-7edb000570e7a5ad,2
prm-5145212ea7e026b0,problem-f5c172c898474116,1
prm-84a947c7d146af3f,problem-18a164d5c1185eef,4
prm-0e94635dc190f6f1,problem-4639686b328fdf30,0
prm-0638bc02d0338441,problem-2ac3a772d4b2a706,0
prm-f6029ddde78e932f,problem-1274ec9221321d04,4
prm-6d0334ee1141425e,problem-80883c8d718e7942,4
prm-f1ec503f118b2646,problem-f23b30541989c47c,1
prm-55db6c6b79c6e553,problem-4d7f93151214ef76,4
prm-e26a030a97cd7abe,problem-7f3bd86e5e9247de,0
prm-768b381d1efb643a,problem-0f8bfc43c716b9e1,4
prm-d9d73e3c7b609d81,problem-32c3cda4fa5ff5d1,2
prm-a540f461a25e3009,problem-93d733b48692eae6,0
prm-70a8ec8eb124a0b7,problem-bd24d198763397d2,2
prm-32376b54c0a0b41a,problem-c16492850cbf8813,3
prm-decee9499f5fb0d7,problem-ab7e10c4af73c9ed,1
prm-059a20c710a38a1d,problem-5acc6365946cc933,4
prm-7b9dea52f656c0bc,problem-fdd18857dfc203ee,4
prm-ab761a525cce7441,problem-af2fadb634c99ff9,2
prm-65c1f64f7a99498a,problem-150eaf9aec741382,0
prm-8bd9e6649bc32eb5,problem-cb95bc64c75cf167,4
prm-85a7807d849d0e61,problem-32b099c0f5aec3b1,1
prm-02ed1bb8af1a120d,problem-dbe25f76577aa227,0
prm-d4c3a3c1d1cb0d1f,problem-b498a7ba21bcc97c,3
prm-cb73032ead9c7309,problem-eed9594538d18b57,3
prm-45906351f0903519,problem-a66962fe3ac65ca5,0
prm-00c77d8adaa4cb57,problem-81b70497c6720b0f,0
prm-eb13f69f057980c9,problem-ad5b14b23ed9a9ea,3
prm-77fc0b169d8585bc,problem-dedb35fff0a06a5e,3
prm-2595a51b9bc687a5,problem-4eb54cd64aed6e3c,1
prm-310884399c5179a6,problem-de4a1c58ecef901b,1
prm-98214e328bc84341,problem-210778075950cc2d,4
prm-16428e60085cafa9,problem-30257ce512a9dbe4,0
prm-ac91d34d7871bcbc,problem-f63d2aeb1dcb4877,0
prm-923c29c44fa03eb6,problem-c0364fc64487e4ec,0
prm-a774fd18d4116fb7,problem-7f472ed5afd0fbc0,2
prm-bc4cdb54673acb6b,problem-4639686b328fdf30,0
prm-911d5b9b5b289e39,problem-234b319021dcf2a6,3
prm-76efc721b39b6bd3,problem-8c8f96252d975acd,2
prm-f902409b4b69ac6a,problem-4639686b328fdf30,0
prm-b78ab37efb3ac6fe,problem-dd48d65e326606be,1
prm-afff103ac71bacae,problem-0410748c1e76e3d4,0
prm-94f01424485d8634,problem-76bb173b20d420b6,1
prm-74cbbc536681f443,problem-71fc61f49bcfcd8f,4
prm-e4c8f952bd2bcb69,problem-59b3380466ff1adb,1
prm-b16889ee222c85e0,problem-20855ff8e775267f,1
prm-11c64fcd9adf9a8d,problem-4e48831b718f7ba2,4
prm-2e89a40cec48c042,problem-d3161eafd1210d42,4
prm-d400c2ab50349260,problem-a4a92af384d88e0b,1
prm-bf49cda9c1b58b99,problem-24416ee05263b731,0
prm-5c13d28d0d1e26be,problem-bdd43ed050657861,0
prm-6a8171dd86016c13,problem-eb20fcfbc7fe587d,4
prm-4397a2362fedc5a3,problem-eb3187c38ab27028,1
prm-2f5e5f1e6dacb0f7,problem-ded0ffd3643d0130,3
prm-4b587d923463065a,problem-5b1d584cfe23d7df,2
prm-a304fbad5368565d,problem-edc76d80b3d26c0a,3
prm-2d2be0a20e1f55eb,problem-4e48831b718f7ba2,4
prm-b93ffe4952ee0425,problem-2bb95410df5e904e,0
prm-71ed47ae96c446e4,problem-06d5aeabb535b6a9,1
prm-1368cc3f0e85c6c9,problem-6c70163ce817add4,3
prm-de41ade60ddfc393,problem-8c8f96252d975acd,2
prm-b35e05ba41e78a12,problem-26def20db88cf572,0
prm-321715581e0e716b,problem-b884ea4dff439d89,4
prm-1a376cfa6cfa9af8,problem-eed9594538d18b57,3
prm-f5ad90a250e816d4,problem-5a8c50102096a59a,0
prm-64bd046dccaa7a10,problem-92992c0e162b3d6d,2
prm-dfc9bfdaf9a344b2,problem-a3f40663ba19390b,3
prm-170a156ef3602f11,problem-5932169135a7e725,4
prm-bd5151d40527ffa0,problem-80883c8d718e7942,4
prm-55383ac51f763ea4,problem-c4f4fd84bb522f70,2
prm-8169dadf3bfeafa7,problem-7fc009d3f808cafe,1
prm-d87fe43bca23d224,problem-5c91e3632a6bed3d,4
prm-fe7cc1b1ef70d69f,problem-e684634d63b6e43e,2
prm-bf052d7ceb54371a,problem-d95c31385ad98554,4
prm-85d7c7d738bdc28f,problem-6fe518888bc76580,3
prm-4e116a81462e9a1c,problem-9f3b9f8d7ae2958e,2
prm-f06f20e73957e088,problem-4aec4eb79c20b809,4
prm-f59567dc389816f6,problem-4090b3789beffe72,4
prm-a7a5bc91e1e562b3,problem-c4f4fd84bb522f70,2
prm-c03abfd4982e0b4e,problem-4c1c2d962a0e65a5,0
prm-9f8de872e85deb1c,problem-45e5f7656e796fc9,3
prm-39445cabc3c247f3,problem-89f1d351159d3b1e,2
prm-08ffb439fa587578,problem-1e70b4456ea54b6e,1
prm-94b3b2909358d23e,problem-48e7b5d5a1bb68e8,3
prm-e4f8aa072f5528f6,problem-a3f40663ba19390b,3
prm-b59d428fdeb2db81,problem-ecdad8d7b2a1a133,1
prm-69589edd55211e2d,problem-5b29870e6b483cee,2
prm-ca8fbd8bc5e76268,problem-3cd65d338d7fdcc9,2
prm-a0bf5d5817e64ebf,problem-e8bbc51e4f0cedba,0
prm-e742e4e78ed351e6,problem-af2fadb634c99ff9,2
prm-2e47da03eaad232d,problem-c16492850cbf8813,3
prm-a1fd67bb0e47eb99,problem-a03b6b4ae366f630,1
prm-729feeaa6d7fd49e,problem-1d11f9ffbe4eb325,1
prm-4d106f224c1f1477,problem-9762de06228ca9c9,3
prm-e2765e9155dae75b,problem-5df990bd825bcc70,4
prm-85a91c7360442cec,problem-3b95366916efe8e8,4
prm-685fe7b1359fce4f,problem-4bf09b4453a890ca,2
prm-2694ff7bb4a98ca8,problem-d43b5b59260aea9d,2
prm-8115590161527562,problem-c4af92bf4d3d000a,3
prm-21c4281b443f082f,problem-3d1f09ed5cfd53dc,0
prm-c3c805b2888f0c71,problem-ef20b746da9beeb2,0
prm-49db7302a176b729,problem-59b3380466ff1adb,1
prm-9d7450aa50a1cc3f,problem-25b30ae82b7937f0,2
prm-24a570f07e4ce807,problem-c0364fc64487e4ec,0
prm-f28e06b3ccb9dfd8,problem-4e48831b718f7ba2,4
prm-1c1e7874f91737bc,problem-d3823d137562e66d,3
prm-f9aa238ea730d105,problem-9c621effde8b49ca,2
prm-2e5c19fc0f94ad0f,problem-6195174aabf201f9,4
prm-b659045eab2bbc92,problem-c4f4fd84bb522f70,2
prm-579dd704ce645be9,problem-b5dc33c4111f2507,2
prm-42aea905c1b49570,problem-e560d5cf6d3fecc5,0
prm-db5fb9c45b89211e,problem-e86aeb48607d14cf,4
prm-b1b1d1fed6ca6e88,problem-88bd1d429ff4da88,3
prm-e165ab188607be7d,problem-137a333dfafa51d5,1
prm-a17bb33b5cced852,problem-dd48d65e326606be,1
prm-57b082ca295d4211,problem-9855ca472cb26c0b,0
prm-67c15cd755da8374,problem-59930f06199891a2,3
prm-0c1ebea011e80ccd,problem-21b63c00bc0a7ef6,1
prm-b2a4ce5f01127d75,problem-25b30ae82b7937f0,2
prm-e8da447d3e7aeca5,problem-87cc54d7f4f149ba,4
prm-56f31f0da676983f,problem-45d2328486552db2,1
prm-1988846108e0f682,problem-4e48831b718f7ba2,4
prm-1363a310736c9808,problem-0df325974e409586,4
prm-1ef2f094b18fa4d5,problem-9f3b9f8d7ae2958e,2
prm-b4ce181080c6935d,problem-50d8fc4d7e16382c,4
prm-e5218a9b5d49ef04,problem-44174d8b3df5f07b,1
prm-934ae181dbf1e5d6,problem-e670b2f65bcd4b8c,2
prm-4a41ea6ca0473740,problem-5a8c50102096a59a,0
prm-df9bfb129e27eea5,problem-c09864a50ddd773b,3
prm-cfbe55fef530eeea,problem-af2fadb634c99ff9,2
prm-c5d23e135f1567c3,problem-86dafa426d0346e1,0
prm-17ba4f9e4d89154f,problem-e8bbc51e4f0cedba,0
prm-6a5663499dcdfb6e,problem-de2d1c474b9ee450,1
prm-9e945c5a20713eba,problem-6a73c9a2c1ed843f,0
prm-bf79591055298bcd,problem-d051c7975db227d7,2
prm-61fb797f33ef26d1,problem-32c3cda4fa5ff5d1,2
prm-d828d740ba9cd096,problem-ab7e10c4af73c9ed,1
prm-81dd96c2af2f5b96,problem-c26fe5040bbc76a5,2
prm-53e6ba65d64de23f,problem-81b70497c6720b0f,0
prm-569d7cf9abe65f34,problem-2aeafb5e569f94dd,2
prm-51383cc20140c6d4,problem-0887851f3251fb23,3
prm-60b56f07df1c7db4,problem-e6376885ffd20df9,3
prm-738ac1e91010e501,problem-a4a92af384d88e0b,1
prm-ebe33b841de11dec,problem-6f0e66a3f1cbf245,0
prm-178620daeb1c879c,problem-85bf82715fb1ee12,0
prm-0ea143eb25e18743,problem-7c500c083448945b,1
prm-48b0d62a1035c5eb,problem-746eb37011dd5080,0
prm-1eb61d347e7307c6,problem-53216a75c996f35c,3
prm-6c647c9d900edecf,problem-ec4a6e5635d208d7,4
prm-7616aa089b45809c,problem-9762de06228ca9c9,3
prm-c5d0b2ae9f6de94a,problem-42517366b010dd6b,2
prm-32ce22f0573267db,problem-4ecc75de961c1f8e,0
prm-73806d5bdc6ee15f,problem-a153bf646bb8dfb0,1
prm-44adc004d54b0a92,problem-fdc8aba1c1ade2de,3
prm-e853a7a5555f3056,problem-57d488b1dac9c921,4
prm-def1910362f8da38,problem-c09864a50ddd773b,3
prm-2d520973414e1dcb,problem-1866ff06f6f007c8,0
prm-0000660f74dea7ea,problem-eed9594538d18b57,3
prm-6fb0c8f8ee2ebabd,problem-8c8f96252d975acd,2
prm-3d9ad8daca3b8faa,problem-d7d47865fbb51ce6,2
prm-2413c903941648a5,problem-118be303d7abffbe,4
prm-45c25b865bce0fe1,problem-a761c38205b1ac25,1
prm-c7fdd3c01ea7968c,problem-3c77f3abead87cb6,1
prm-b30d7b8afa669a70,problem-4ecfbe0b1cc77e4e,4
prm-9d4dfc92d2809bdb,problem-9762de06228ca9c9,3
prm-d22d355799e3baaf,problem-42517366b010dd6b,2
prm-735ea9ae49ab1cf2,problem-dbb4f569f90ecb0e,1
prm-fe9bce2e8059e597,problem-2751b7253592e67a,3
prm-caf345262620d432,problem-fc0b0712fe1587cc,1
prm-2a5b9be75f2130c8,problem-24cffc732716cb8f,4
prm-7cf98f01d85acf4d,problem-d4b934f6ede28d75,4
prm-f43ad1cb6c3aa6ba,problem-4639686b328fdf30,0
prm-f66c436ea5314143,problem-c97bae96c69a7454,0
prm-e457a6097bf292ad,problem-88f73baedbff623c,2
prm-d43403303ce7ca47,problem-ab8474b5c891f6bb,0
prm-91db4cb8cb67916a,problem-0809a483e113340d,4
prm-24135c674fb88634,problem-a5b3b535a7854a82,3
prm-d139e98806701b02,problem-b85cd3a0d61d8d2a,1
prm-499e50d1f2d6148c,problem-18a164d5c1185eef,4
prm-e31d87a5f18e7b0e,problem-81dd044c95a0fca3,0
prm-02dc733a400c8a44,problem-4ad774d03e1d7ae9,3
prm-d9a76b21965836c2,problem-4eb54cd64aed6e3c,1
prm-a3a05daf8f16a52f,problem-4639686b328fdf30,0
prm-47679397406393e0,problem-22d4c2de98f5c342,2
prm-1b82baadae1514fc,problem-fb2f7de9a9991585,1
prm-01441d1b7d95366c,problem-cbe5b6b45a9ab948,2
prm-8acbcd62bf310d16,problem-07f83eec628533b9,2
prm-14fb1048eb99d376,problem-76bb173b20d420b6,1
prm-295680b6ca231154,problem-3367017f1ecb3df4,3
prm-f2aca719a99dc3e9,problem-5a8c50102096a59a,0
prm-47a902d41e673ff6,problem-116237dfe3dbfe5a,2
prm-0700321e0038e3d1,problem-3d1f09ed5cfd53dc,0
prm-9156dcd21a3e42c0,problem-693ebe9d1ed71104,4
prm-14c85f1b92bf8cfb,problem-d617e0f458c4b1fa,0
prm-8fb8c12bb402ec2d,problem-de0c58f09875d127,1
prm-65435eea6f0c0b9a,problem-17002c400ab54889,1
prm-66bc41cfa62d57e2,problem-cf3312d83cf0bc46,1
prm-2dfd8218ce19b305,problem-59930f06199891a2,3
prm-b7f05eda927bf837,problem-72d9cb6397e8c5fb,2
prm-57a23b7d9d387a2d,problem-32b099c0f5aec3b1,1
prm-e0c68e2f69c92ce1,problem-e497bfcb257b3f78,1
prm-ac01250021f796d9,problem-4639686b328fdf30,0
prm-0ade6393f937db17,problem-bdd43ed050657861,0
prm-77a86cb6e4dfd1aa,problem-4ee4220e8bc8cdab,4
prm-99891d43a5e736a5,problem-eb20fcfbc7fe587d,4
prm-977f248f4b7b1084,problem-71eae2be9ad19da7,3
prm-f77af5e177e450d9,problem-30257ce512a9dbe4,0
prm-55ea704e2707c428,problem-ec4a6e5635d208d7,4
prm-3ef9d1189683f74d,problem-f25c15fb353535a8,2
prm-51eccaad45590836,problem-2bf2a416429c8a87,4
prm-ac1c971aefdf8aad,problem-543fa2b4f0fe3ef6,3
prm-14d4896af9e2f42b,problem-827611782a6a81f2,0
prm-e5b42c42ddfdfe89,problem-72d9cb6397e8c5fb,2
prm-24a4a38cf78a16b4,problem-b884ea4dff439d89,4
prm-4dbc982a4c31d7d8,problem-2ac3a772d4b2a706,0
prm-92cd9c4d155c7994,problem-a54460c3eddba3c4,4
prm-d86397c6b2e063ff,problem-498bac6c50d80f1b,0
prm-fb4120427f491cb1,problem-1d11f9ffbe4eb325,1
prm-b141684d5ef466c9,problem-18a164d5c1185eef,4
prm-00177cb1b6246e3e,problem-b366ba898e337926,3
prm-edfe3301d75e7278,problem-ea0162ad089adfef,1
prm-64c48353bed266ed,problem-07f83eec628533b9,2
prm-9aefc3c8b6098bf4,problem-89ee4e5ddd25b8e0,2
prm-210861cfb25add07,problem-9762de06228ca9c9,3
prm-fa87724dc0063e72,problem-a4a92af384d88e0b,1
prm-7a6e2d9a9da28f78,problem-cb95bc64c75cf167,4
prm-656a46c9640db820,problem-24b6ac402f7f606f,2
prm-d9e44ee7bd1dadc6,problem-9659416657d19153,3
prm-7a821b119f49c100,problem-71fc61f49bcfcd8f,4
prm-76baed35df6fb032,problem-3e3197b5f708b626,4
prm-f418b9680e5a9dc1,problem-80883c8d718e7942,4
prm-33b6dd3dabd31070,problem-54691fce5a1342e9,2
prm-23e4bf45fefddfca,problem-20855ff8e775267f,1
prm-ea4bf8ee91052d6e,problem-f7d45d9e11fcf4f6,2
prm-22008191f0fcf07c,problem-d43b5b59260aea9d,2
prm-d53813f5acf46dc2,problem-30257ce512a9dbe4,0
prm-27543090e207be07,problem-29b2b39dd7862f9d,4
prm-374f893a0a7e07c4,problem-36fd071c1bb427b5,3
prm-6b443c0ab9016cf3,problem-3e3197b5f708b626,4
prm-9b09489564767b9d,problem-fa8130795d8510ae,0
prm-b02cba206762c771,problem-ba83e92e963aa63c,4
prm-1590d85cae7720a6,problem-7f3bd86e5e9247de,0
prm-8d9aac49538338f6,problem-ca9cbef015dfaab2,4
prm-d14414ada709f204,problem-6bb3caecbae2a0c3,3
prm-c00e9d4b22a619cf,problem-f5c172c898474116,1
prm-6994d64b52995162,problem-5c91e3632a6bed3d,4
prm-3490f4298028248f,problem-32b099c0f5aec3b1,1
prm-896614eb571273fb,problem-e684634d63b6e43e,2
prm-5163da324c8a2bc9,problem-953b683f2dc4237e,3
prm-060b37de44a23f9c,problem-eb3187c38ab27028,1
prm-6a48687cd49dd67e,problem-5d4e128b653312de,2
prm-bcf33e68e625980e,problem-dbe25f76577aa227,0
prm-4f8665f0a19739c3,problem-48e7b5d5a1bb68e8,3
prm-a3fb1524920e2118,problem-eb3187c38ab27028,1
prm-b776a9c2dead1877,problem-5acc6365946cc933,4
prm-31f315049adee361,problem-a3f40663ba19390b,3
prm-0796ce8561574c8c,problem-b4bdce0b7c998bd0,4
prm-fa241fc7e4a6f419,problem-1a7c478bb9ae0d78,1
prm-a619a9e3e9a63362,problem-afe7eeff1cb11ff9,3
prm-b3c55327f85d52bf,problem-59930f06199891a2,3
prm-4c7b0daf67f174f2,problem-27304254dfee5d97,1
prm-bd9c89c30ff0439e,problem-59930f06199891a2,3
prm-8cc3ef6509ad6fbf,problem-7402b093e77ab835,3
prm-649bf3fbe6231218,problem-70cf8bf9114223fc,1
prm-42aa85293ce04d6c,problem-ab7e10c4af73c9ed,1
prm-1032a7112c293158,problem-ebebe01a18f218d6,2
prm-2d19813fccf4dac9,problem-92992c0e162b3d6d,2
prm-1fa85012955acc38,problem-9f3b9f8d7ae2958e,2
prm-6a679885fe24ca4d,problem-108f81538ad8d2c1,1
prm-bbdc2cbce9d5d71d,problem-746a8f87097718e5,3
prm-61500888ffe32624,problem-d699cb734c33a748,0
prm-3b8fc6d3080aade1,problem-498bac6c50d80f1b,0
prm-24d79d07da1abeb8,problem-ecf5fa925de2e2ec,3
prm-b8457436293d4e60,problem-92992c0e162b3d6d,2
prm-9ef4a4362f8a777c,problem-edc76d80b3d26c0a,3
prm-7af50adf0a42982f,problem-59930f06199891a2,3
prm-4c8c15a6cba67d79,problem-96a8c62f9c87bbff,4
prm-242890b88c115e2c,problem-57971ca6c2f0ea0b,0
prm-2c5e0537236b9a03,problem-9855ca472cb26c0b,0
prm-64052b65a1c192c7,problem-50586870d07058f9,2
prm-05db80661c2eea87,problem-ca9cbef015dfaab2,4
prm-dfed03ca959f8315,problem-2757934eba881767,2
prm-ca096eb77c3d707b,problem-108f81538ad8d2c1,1
prm-dbb76c0284dc2629,problem-108f81538ad8d2c1,1
prm-c93b572ed45d09e3,problem-a54ef7e372ba2713,1
prm-7805f2fb660af82c,problem-e560d5cf6d3fecc5,0
prm-694eda0133adae37,problem-eb3187c38ab27028,1
prm-6c4e585fba73949f,problem-5932169135a7e725,4
prm-2953ceb48c3d11eb,problem-c4f4fd84bb522f70,2
prm-5be58b31f228d28e,problem-dedb35fff0a06a5e,3
prm-de2964131ac70829,problem-d41322c9103030ce,0
prm-a9006452bf5662ee,problem-782deeefb596a9df,1
prm-9def3665fa2dd260,problem-3b95366916efe8e8,4
prm-317d37656fcc5ddd,problem-24416ee05263b731,0
prm-7aacc6952228d379,problem-76bb173b20d420b6,1
prm-ac7f15288ce11c38,problem-b18bba5824f91f21,4
prm-7a422bc7fddfdf54,problem-ee7c7225248fbed1,3
prm-3fb0a1041b0e6522,problem-d1c9cde932510127,3
prm-fa4778df65d9a289,problem-214693f141327f81,0
prm-4dece02217f93500,problem-c0364fc64487e4ec,0
prm-2d6ec7aa85de8014,problem-9855ca472cb26c0b,0
prm-dc919cb80f6423eb,problem-57d488b1dac9c921,4
prm-c7bf20109ee3402e,problem-eee898cfa2cd6785,2
prm-7449b3260474567e,problem-edc76d80b3d26c0a,3
prm-370bf73e2c4bd7d0,problem-f5ace075c490ab02,2
prm-6c8f717ff62b444b,problem-29b2b39dd7862f9d,4
prm-52a853240fdce958,problem-0887851f3251fb23,3
prm-1fdd16bd5ee2ebb1,problem-0d469d0ece1c8db4,1
prm-4b2cde83a58c010f,problem-c4f4fd84bb522f70,2
prm-e3b1b8595fa68428,problem-8870acf1d4b163f5,4
prm-9b1fccc8cdbe2d3c,problem-96a8c62f9c87bbff,4
prm-07ed10b9917c2389,problem-f2c81f01ec95c73f,3
prm-a15fb929dff59e97,problem-8e69fc01349a975d,1
prm-12bc5c8b425e5765,problem-1a7c478bb9ae0d78,1
prm-9df86fcdc40baf88,problem-118be303d7abffbe,4
prm-68e9514e2eb03142,problem-fdc8aba1c1ade2de,3
prm-ae5ba6e191f09528,problem-dedb35fff0a06a5e,3
prm-315d6ba30914293a,problem-4639686b328fdf30,0
prm-92e6c6de9151c528,problem-c16492850cbf8813,3
prm-2fbe6edf19120d31,problem-3cbf37a65f1d222a,3
prm-5bd12286ca047ec0,problem-26def20db88cf572,0
prm-64828b0b15ca157c,problem-3e3197b5f708b626,4
prm-f2ca2a7324883c6d,problem-98ba12c744ebd5e7,2
prm-6810d2c059913e28,problem-150eaf9aec741382,0
prm-c01bc07ec8bcb448,problem-4e48831b718f7ba2,4
prm-ab1c7130781f0c6b,problem-d699cb734c33a748,0
prm-f17b27e710e8f147,problem-81dd044c95a0fca3,0
prm-6bdba3a9023070a1,problem-a5b3b535a7854a82,3
prm-6ee8687119787677,problem-9b85603bc31a2030,2
prm-3d7ee20871a31c85,problem-5a8c50102096a59a,0
prm-cbc588184fc6053c,problem-cdaeb4bf71f69112,3
prm-5da3ed1afff5caaa,problem-b884ea4dff439d89,4
prm-49dfa9357a3a5686,problem-de0c58f09875d127,1
prm-3dc58ac2c43483b2,problem-ca9cbef015dfaab2,4
prm-2cb8f0ea41668c12,problem-607ec7f40a3b19a9,2
prm-91df52b1208ea81d,problem-4928f50ac88f7a16,1
prm-951e8e518dae1077,problem-7317c41e6c58289b,1
prm-ef29966d7a6bd3e2,problem-2ca7e059eeb0b7dd,0
prm-7f470224e279c9a5,problem-d4b549c0bfc69f15,2
prm-27e89528dea4c565,problem-34876d45164544f1,3
prm-f254e3a090dbe70a,problem-83864f8749594ce4,4
prm-64b92977ff492b9b,problem-e684634d63b6e43e,2
prm-5aef13ef62a287fc,problem-07f83eec628533b9,2
prm-fde519a4d71d112d,problem-96a8c62f9c87bbff,4
prm-b09e1aa4bb87ee7c,problem-a0041119ec9c197c,3
prm-c9fe17645948c6da,problem-a153bf646bb8dfb0,1
prm-1989a099acb06f53,problem-1866ff06f6f007c8,0
prm-d4926e70a53c8c17,problem-d7d47865fbb51ce6,2
prm-707a079b8cebba7e,problem-5bf83c63cfb01744,4
prm-da9a80d73183841e,problem-71fc61f49bcfcd8f,4
prm-4d125d919f106dbe,problem-fc0b0712fe1587cc,1
prm-b46df73b9c7f1dd9,problem-7d076f64a5e86762,1
prm-9ceaed5b974155d1,problem-d4b934f6ede28d75,4
prm-b61370dd7f97aa7c,problem-dedb35fff0a06a5e,3
prm-158ef0683bb8bf70,problem-a153bf646bb8dfb0,1
prm-c95d41ec650cb773,problem-86429feba2dedf48,3
prm-762ceff54735d7f1,problem-34876d45164544f1,3
prm-e9f04531a844d980,problem-22d4c2de98f5c342,2
prm-9db27c5e8855d8c2,problem-61623a4f6df2088f,0
prm-08169263b46b6a22,problem-18a164d5c1185eef,4
prm-5636d3dc1eb6633f,problem-f79eb3696da414f8,0
prm-c502b3dc0f88dfaf,problem-370853d31f3eb781,0
prm-8dfa8dc3890bcfef,problem-27304254dfee5d97,1
prm-e340bad68ddf9e2d,problem-d1c9cde932510127,3
prm-f8d5e2b8c3ae4947,problem-32b099c0f5aec3b1,1
prm-32cacde29c588ce5,problem-c05b2b3a40b24579,2
prm-78bd280e7dee8d22,problem-b366ba898e337926,3
prm-84b3c6777c806334,problem-63fb0c19be9bfc02,0
prm-0219e874907d9144,problem-4639686b328fdf30,0
prm-090c92a536a6f7cf,problem-86dafa426d0346e1,0
prm-2ec389700747f531,problem-9377eb1958837bb7,1
prm-c95bf35f36e49166,problem-b4bdce0b7c998bd0,4
prm-dba05e0cd479b592,problem-a761c38205b1ac25,1
prm-de925ec448909016,problem-83233254b974f8d3,1
prm-4f0a1eb97f47668a,problem-bdd43ed050657861,0
prm-c724e22efcbb6540,problem-4f1949500aa128e9,1
prm-c1d4d174440821f2,problem-ab8474b5c891f6bb,0
prm-43a5c71b96bc6a02,problem-746eb37011dd5080,0
prm-359b37145eea0ad1,problem-c09864a50ddd773b,3
prm-b22345a73912d695,problem-4aec4eb79c20b809,4
prm-70a2e3a4f8362a3d,problem-e76531f9dd293670,4
prm-a7ee94dec2e0a9cc,problem-594ea12e92fffd95,1
prm-62cd37cf091fe105,problem-3367017f1ecb3df4,3
prm-27d0dda20005b851,problem-3367017f1ecb3df4,3
prm-d7cd2fc406477b13,problem-4639686b328fdf30,0
prm-b5f8d24593f1e708,problem-ca9cbef015dfaab2,4
prm-d3fcbd13ec57a842,problem-7f472ed5afd0fbc0,2
prm-b8e3cc348f791b5a,problem-2ca7e059eeb0b7dd,0
prm-5c51e282ba7208e7,problem-a4a92af384d88e0b,1
prm-f65a99197bf57f66,problem-4f1949500aa128e9,1
