step_id,problem_id,prm_rating,step_type_analysis,step_type_human_calibrated,rating_x_type,position_bin,target_tokens,prefix_tokens,control_correct_count,target_correct_count,control_avg_correct,target_avg_correct,target_effect,correct_to_wrong_count,wrong_to_correct_count,danger_rate,recovery_rate,mean_target_minus_control_tokens,completion_fraction,has_abnormal_completion,placebo_eligible,placebo_run_count,eligibility_group
prm-84a947c7d146af3f,problem-18a164d5c1185eef,0,essential,essential,0 x essential,middle,52,500,4,4,1.0,1.0,0.0,0,0,0.0,,29.5,1.0,false,1,1,eligible
prm-0e94635dc190f6f1,problem-4639686b328fdf30,0,redundant,harmful,0 x redundant,middle,31,746,0,3,0.0,0.75,0.75,0,3,,0.75,36.25,1.0,false,1,4,eligible
prm-0638bc02d0338441,problem-2ac3a772d4b2a706,1,essential,redundant,1 x essential,middle,43,695,4,4,1.0,1.0,0.0,0,0,0.0,,129.75,1.0,false,1,4,eligible
prm-f6029ddde78e932f,problem-1274ec9221321d04,1,harmful,harmful,1 x harmful,late,59,473,4,1,1.0,0.25,-0.75,3,0,0.75,,49.25,1.0,false,1,1,eligible
prm-6d0334ee1141425e,problem-80883c8d718e7942,0,essential,essential,0 x essential,late,28,505,4,4,1.0,1.0,0.0,0,0,0.0,,336.25,1.0,false,1,4,eligible
prm-f1ec503f118b2646,problem-f23b30541989c47c,-1,harmful,harmful,-1 x harmful,early,83,322,0,4,0.0,1.0,1.0,0,4,,1.0,206,1.0,false,0,0,skipped
prm-55db6c6b79c6e553,problem-4d7f93151214ef76,1,redundant,essential,1 x redundant,late,23,672,4,4,1.0,1.0,0.0,0,0,0.0,,-101.25,1.0,false,1,1,eligible
prm-e26a030a97cd7abe,problem-7f3bd86e5e9247de,1,redundant,redundant,1 x redundant,middle,30,433,0,2,0.0,0.5,0.5,0,2,,0.5,1022.5,0.75,true,0,0,skipped
prm-768b381d1efb643a,problem-0f8bfc43c716b9e1,-1,harmful,harmful,-1 x harmful,middle,31,429,4,4,1.0,1.0,0.0,0,0,0.0,,-13,1.0,false,1,4,eligible
prm-d9d73e3c7b609d81,problem-32c3cda4fa5ff5d1,0,redundant,redundant,0 x redundant,late,9,585,4,4,1.0,1.0,0.0,0,0,0.0,,-15,1.0,false,0,0,skipped
prm-a540f461a25e3009,problem-93d733b48692eae6,1,redundant,redundant,1 x redundant,late,28,548,4,4,1.0,1.0,0.0,0,0,0.0,,23,1.0,false,1,4,eligible
prm-70a8ec8eb124a0b7,problem-bd24d198763397d2,-1,harmful,harmful,-1 x harmful,early,59,409,0,1,0.0,0.25,0.25,0,1,,0.25,-80,1.0,false,1,1,eligible
prm-32376b54c0a0b41a,problem-c16492850cbf8813,1,essential,essential,1 x essential,late,27,651,4,4,1.0,1.0,0.0,0,0,0.0,,12.75,1.0,false,1,1,eligible
prm-decee9499f5fb0d7,problem-ab7e10c4af73c9ed,-1,harmful,harmful,-1 x harmful,late,30,504,0,4,0.0,1.0,1.0,0,4,,1.0,-23.75,1.0,false,1,4,eligible
prm-059a20c710a38a1d,problem-5acc6365946cc933,0,redundant,essential,0 x redundant,middle,27,507,4,4,1.0,1.0,0.0,0,0,0.0,,-57,1.0,false,1,4,eligible
prm-7b9dea52f656c0bc,problem-fdd18857dfc203ee,1,essential,essential,1 x essential,middle,24,403,4,4,1.0,1.0,0.0,0,0,0.0,,45,1.0,false,1,3,eligible
prm-ab761a525cce7441,problem-af2fadb634c99ff9,1,essential,essential,1 x essential,middle,45,385,0,4,0.0,1.0,1.0,0,4,,1.0,66,0.5,true,1,2,eligible
prm-65c1f64f7a99498a,problem-150eaf9aec741382,1,essential,essential,1 x essential,early,36,294,4,4,1.0,1.0,0.0,0,0,0.0,,-39.25,1.0,false,1,4,eligible
prm-8bd9e6649bc32eb5,problem-cb95bc64c75cf167,1,essential,essential,1 x essential,middle,39,662,4,4,1.0,1.0,0.0,0,0,0.0,,26.25,1.0,false,1,4,eligible
prm-85a7807d849d0e61,problem-32b099c0f5aec3b1,0,redundant,redundant,0 x redundant,late,17,631,4,4,1.0,1.0,0.0,0,0,0.0,,10.5,1.0,false,0,0,skipped
prm-02ed1bb8af1a120d,problem-dbe25f76577aa227,1,redundant,harmful,1 x redundant,early,56,396,0,0,0.0,0.0,0.0,0,0,,0.0,-805.25,0.75,true,1,4,eligible
prm-d4c3a3c1d1cb0d1f,problem-b498a7ba21bcc97c,-1,harmful,harmful,-1 x harmful,middle,27,459,4,4,1.0,1.0,0.0,0,0,0.0,,-152.5,1.0,false,1,1,eligible
prm-cb73032ead9c7309,problem-eed9594538d18b57,0,harmful,harmful,0 x harmful,middle,25,523,0,0,0.0,0.0,0.0,0,0,,0.0,-30.75,0.75,true,0,0,skipped
prm-45906351f0903519,problem-a66962fe3ac65ca5,1,essential,harmful,1 x essential,middle,35,491,0,0,0.0,0.0,0.0,0,0,,0.0,-85,1.0,false,1,3,eligible
prm-00c77d8adaa4cb57,problem-81b70497c6720b0f,-1,harmful,harmful,-1 x harmful,early,23,339,0,0,0.0,0.0,0.0,0,0,,0.0,181.5,1.0,false,1,1,eligible
prm-eb13f69f057980c9,problem-ad5b14b23ed9a9ea,0,redundant,redundant,0 x redundant,late,19,532,4,4,1.0,1.0,0.0,0,0,0.0,,-26,1.0,false,1,1,eligible
prm-77fc0b169d8585bc,problem-dedb35fff0a06a5e,-1,harmful,harmful,-1 x harmful,early,23,365,0,4,0.0,1.0,1.0,0,4,,1.0,54.75,1.0,false,1,3,eligible
prm-2595a51b9bc687a5,problem-4eb54cd64aed6e3c,0,redundant,redundant,0 x redundant,late,26,604,4,4,1.0,1.0,0.0,0,0,0.0,,11,1.0,false,0,0,skipped
prm-310884399c5179a6,problem-de4a1c58ecef901b,-1,harmful,harmful,-1 x harmful,middle,72,393,0,4,0.0,1.0,1.0,0,4,,1.0,58,1.0,false,1,1,eligible
prm-98214e328bc84341,problem-210778075950cc2d,-1,harmful,harmful,-1 x harmful,middle,37,407,0,4,0.0,1.0,1.0,0,4,,1.0,4.25,1.0,false,1,3,eligible
prm-16428e60085cafa9,problem-30257ce512a9dbe4,1,essential,essential,1 x essential,late,25,684,4,4,1.0,1.0,0.0,0,0,0.0,,-38.75,1.0,false,1,4,eligible
prm-ac91d34d7871bcbc,problem-f63d2aeb1dcb4877,0,essential,essential,0 x essential,middle,36,475,4,1,1.0,0.25,-0.75,3,0,0.75,,-27,1.0,false,1,1,eligible
prm-923c29c44fa03eb6,problem-c0364fc64487e4ec,-1,essential,redundant,-1 x essential,late,25,629,4,4,1.0,1.0,0.0,0,0,0.0,,-19.5,1.0,false,1,4,eligible
prm-a774fd18d4116fb7,problem-7f472ed5afd0fbc0,0,redundant,redundant,0 x redundant,early,12,284,4,4,1.0,1.0,0.0,0,0,0.0,,-34.5,1.0,false,1,2,eligible
prm-bc4cdb54673acb6b,problem-4639686b328fdf30,0,redundant,redundant,0 x redundant,early,27,362,0,0,0.0,0.0,0.0,0,0,,0.0,-21.75,1.0,false,1,4,eligible
prm-911d5b9b5b289e39,problem-234b319021dcf2a6,-1,harmful,harmful,-1 x harmful,early,111,398,0,0,0.0,0.0,0.0,0,0,,0.0,-349,0.375,true,1,1,eligible
prm-76efc721b39b6bd3,problem-8c8f96252d975acd,1,essential,redundant,1 x essential,late,45,680,4,4,1.0,1.0,0.0,0,0,0.0,,52.5,1.0,false,1,4,eligible
prm-f902409b4b69ac6a,problem-4639686b328fdf30,1,essential,redundant,1 x essential,middle,21,578,0,0,0.0,0.0,0.0,0,0,,0.0,57,1.0,false,1,4,eligible
prm-b78ab37efb3ac6fe,problem-dd48d65e326606be,-1,harmful,harmful,-1 x harmful,late,55,671,4,4,1.0,1.0,0.0,0,0,0.0,,-29.75,1.0,false,1,2,eligible
prm-afff103ac71bacae,problem-0410748c1e76e3d4,-1,harmful,harmful,-1 x harmful,late,48,499,0,4,0.0,1.0,1.0,0,4,,1.0,68.25,1.0,false,1,1,eligible
prm-94f01424485d8634,problem-76bb173b20d420b6,-1,harmful,harmful,-1 x harmful,middle,48,530,4,4,1.0,1.0,0.0,0,0,0.0,,-22,1.0,false,1,4,eligible
prm-74cbbc536681f443,problem-71fc61f49bcfcd8f,0,redundant,redundant,0 x redundant,early,24,439,2,4,0.5,1.0,0.5,0,2,0.0,1.0,37,1.0,false,1,4,eligible
prm-e4c8f952bd2bcb69,problem-59b3380466ff1adb,0,essential,essential,0 x essential,middle,45,537,4,4,1.0,1.0,0.0,0,0,0.0,,-27.5,1.0,false,1,4,eligible
prm-b16889ee222c85e0,problem-20855ff8e775267f,0,harmful,essential,0 x harmful,middle,24,563,1,0,0.25,0.0,-0.25,1,0,1.0,0.0,-15.25,1.0,false,1,4,eligible
prm-11c64fcd9adf9a8d,problem-4e48831b718f7ba2,0,harmful,harmful,0 x harmful,early,44,392,0,0,0.0,0.0,0.0,0,0,,0.0,-1705.5,0.5,true,1,1,eligible
prm-2e89a40cec48c042,problem-d3161eafd1210d42,-1,harmful,harmful,-1 x harmful,early,16,359,0,4,0.0,1.0,1.0,0,4,,1.0,183.25,0.5,true,1,2,eligible
prm-d400c2ab50349260,problem-a4a92af384d88e0b,-1,harmful,harmful,-1 x harmful,late,17,490,2,4,0.5,1.0,0.5,0,2,0.0,1.0,-211.75,1.0,false,0,0,skipped
prm-bf49cda9c1b58b99,problem-24416ee05263b731,-1,harmful,harmful,-1 x harmful,early,69,407,4,4,1.0,1.0,0.0,0,0,0.0,,-87.5,1.0,false,1,1,eligible
prm-5c13d28d0d1e26be,problem-bdd43ed050657861,0,redundant,redundant,0 x redundant,early,11,289,4,4,1.0,1.0,0.0,0,0,0.0,,-10.75,1.0,false,1,4,eligible
prm-6a8171dd86016c13,problem-eb20fcfbc7fe587d,1,redundant,redundant,1 x redundant,late,12,724,4,4,1.0,1.0,0.0,0,0,0.0,,-2,1.0,false,1,1,eligible
prm-4397a2362fedc5a3,problem-eb3187c38ab27028,1,essential,essential,1 x essential,late,23,478,4,4,1.0,1.0,0.0,0,0,0.0,,28.5,1.0,false,1,2,eligible
prm-2f5e5f1e6dacb0f7,problem-ded0ffd3643d0130,-1,harmful,harmful,-1 x harmful,late,38,577,0,4,0.0,1.0,1.0,0,4,,1.0,-15.5,1.0,false,1,1,eligible
prm-4b587d923463065a,problem-5b1d584cfe23d7df,-1,essential,harmful,-1 x essential,middle,24,670,0,0,0.0,0.0,0.0,0,0,,0.0,105.25,1.0,false,1,2,eligible
prm-a304fbad5368565d,problem-edc76d80b3d26c0a,-1,harmful,harmful,-1 x harmful,late,45,608,1,4,0.25,1.0,0.75,0,3,0.0,1.0,12,1.0,false,1,4,eligible
prm-2d2be0a20e1f55eb,problem-4e48831b718f7ba2,0,essential,essential,0 x essential,middle,61,592,0,0,0.0,0.0,0.0,0,0,,0.0,89.75,0.375,true,1,2,eligible
prm-b93ffe4952ee0425,problem-2bb95410df5e904e,-1,harmful,harmful,-1 x harmful,early,26,419,4,4,1.0,1.0,0.0,0,0,0.0,,21,1.0,false,1,2,eligible
prm-71ed47ae96c446e4,problem-06d5aeabb535b6a9,0,redundant,redundant,0 x redundant,early,4,336,0,0,0.0,0.0,0.0,0,0,,0.0,-154.75,1.0,false,0,0,skipped
prm-1368cc3f0e85c6c9,problem-6c70163ce817add4,1,redundant,essential,1 x redundant,middle,16,531,4,4,1.0,1.0,0.0,0,0,0.0,,33.25,1.0,false,1,1,eligible
prm-de41ade60ddfc393,problem-8c8f96252d975acd,0,redundant,redundant,0 x redundant,early,11,352,4,4,1.0,1.0,0.0,0,0,0.0,,6.5,1.0,false,1,4,eligible
prm-b35e05ba41e78a12,problem-26def20db88cf572,1,essential,essential,1 x essential,early,33,489,4,4,1.0,1.0,0.0,0,0,0.0,,87.75,1.0,false,1,4,eligible
prm-321715581e0e716b,problem-b884ea4dff439d89,0,harmful,harmful,0 x harmful,late,33,614,1,0,0.25,0.0,-0.25,1,0,1.0,0.0,-690.75,0.875,true,1,4,eligible
prm-1a376cfa6cfa9af8,problem-eed9594538d18b57,-1,harmful,harmful,-1 x harmful,late,69,584,0,0,0.0,0.0,0.0,0,0,,0.0,-83,0.875,true,1,2,eligible
prm-f5ad90a250e816d4,problem-5a8c50102096a59a,0,redundant,redundant,0 x redundant,late,17,1192,2,0,0.5,0.0,-0.5,2,0,1.0,0.0,1596.25,0.5,true,1,4,eligible
prm-64bd046dccaa7a10,problem-92992c0e162b3d6d,0,redundant,redundant,0 x redundant,late,40,579,0,0,0.0,0.0,0.0,0,0,,0.0,1,1.0,false,1,4,eligible
prm-dfc9bfdaf9a344b2,problem-a3f40663ba19390b,1,redundant,essential,1 x redundant,middle,22,662,4,4,1.0,1.0,0.0,0,0,0.0,,57.25,1.0,false,1,4,eligible
prm-170a156ef3602f11,problem-5932169135a7e725,-1,harmful,essential,-1 x harmful,early,26,451,0,0,0.0,0.0,0.0,0,0,,0.0,253.75,1.0,false,1,4,eligible
prm-bd5151d40527ffa0,problem-80883c8d718e7942,0,redundant,redundant,0 x redundant,middle,24,453,0,0,0.0,0.0,0.0,0,0,,0.0,36.75,1.0,false,1,4,eligible
prm-55383ac51f763ea4,problem-c4f4fd84bb522f70,-1,redundant,redundant,-1 x redundant,early,29,300,4,4,1.0,1.0,0.0,0,0,0.0,,29,1.0,false,1,4,eligible
prm-8169dadf3bfeafa7,problem-7fc009d3f808cafe,1,essential,essential,1 x essential,late,45,709,4,4,1.0,1.0,0.0,0,0,0.0,,-22,1.0,false,1,4,eligible
prm-d87fe43bca23d224,problem-5c91e3632a6bed3d,-1,harmful,harmful,-1 x harmful,middle,26,399,0,0,0.0,0.0,0.0,0,0,,0.0,29,1.0,false,1,2,eligible
prm-fe7cc1b1ef70d69f,problem-e684634d63b6e43e,0,redundant,redundant,0 x redundant,early,21,426,4,2,1.0,0.5,-0.5,2,0,0.5,,11.25,1.0,false,1,4,eligible
prm-bf052d7ceb54371a,problem-d95c31385ad98554,-1,harmful,harmful,-1 x harmful,early,39,511,0,1,0.0,0.25,0.25,0,1,,0.25,-14.5,1.0,false,1,4,eligible
prm-85d7c7d738bdc28f,problem-6fe518888bc76580,0,redundant,redundant,0 x redundant,middle,34,973,4,4,1.0,1.0,0.0,0,0,0.0,,10.5,1.0,false,1,3,eligible
prm-4e116a81462e9a1c,problem-9f3b9f8d7ae2958e,-1,harmful,harmful,-1 x harmful,middle,55,450,0,4,0.0,1.0,1.0,0,4,,1.0,44,1.0,false,1,1,eligible
prm-f06f20e73957e088,problem-4aec4eb79c20b809,1,essential,essential,1 x essential,middle,63,567,4,4,1.0,1.0,0.0,0,0,0.0,,-4.5,1.0,false,1,4,eligible
prm-f59567dc389816f6,problem-4090b3789beffe72,-1,harmful,harmful,-1 x harmful,early,132,420,0,0,0.0,0.0,0.0,0,0,,0.0,423.75,0.75,true,1,1,eligible
prm-a7a5bc91e1e562b3,problem-c4f4fd84bb522f70,0,redundant,essential,0 x redundant,middle,26,419,4,4,1.0,1.0,0.0,0,0,0.0,,-43.5,1.0,false,1,4,eligible
prm-c03abfd4982e0b4e,problem-4c1c2d962a0e65a5,-1,harmful,redundant,-1 x harmful,middle,22,505,0,4,0.0,1.0,1.0,0,4,,1.0,57.5,1.0,false,1,3,eligible
prm-9f8de872e85deb1c,problem-45e5f7656e796fc9,1,essential,redundant,1 x essential,late,32,654,4,4,1.0,1.0,0.0,0,0,0.0,,28,1.0,false,1,4,eligible
prm-39445cabc3c247f3,problem-89f1d351159d3b1e,-1,harmful,harmful,-1 x harmful,late,34,1108,0,0,0.0,0.0,0.0,0,0,,0.0,-33,1.0,false,1,4,eligible
prm-08ffb439fa587578,problem-1e70b4456ea54b6e,1,essential,essential,1 x essential,middle,33,511,4,4,1.0,1.0,0.0,0,0,0.0,,64,1.0,false,1,4,eligible
prm-94b3b2909358d23e,problem-48e7b5d5a1bb68e8,1,redundant,redundant,1 x redundant,early,20,417,4,4,1.0,1.0,0.0,0,0,0.0,,-9,1.0,false,0,0,skipped
prm-e4f8aa072f5528f6,problem-a3f40663ba19390b,1,redundant,essential,1 x redundant,early,22,402,0,4,0.0,1.0,1.0,0,4,,1.0,56,1.0,false,1,4,eligible
prm-b59d428fdeb2db81,problem-ecdad8d7b2a1a133,1,essential,essential,1 x essential,late,26,491,4,3,1.0,0.75,-0.25,1,0,0.25,,-6,1.0,false,1,4,eligible
prm-69589edd55211e2d,problem-5b29870e6b483cee,1,redundant,redundant,1 x redundant,early,39,284,4,4,1.0,1.0,0.0,0,0,0.0,,36,1.0,false,0,0,skipped
prm-ca8fbd8bc5e76268,problem-3cd65d338d7fdcc9,1,essential,redundant,1 x essential,early,51,357,0,0,0.0,0.0,0.0,0,0,,0.0,159.25,0.875,true,1,1,eligible
