"sampleId","rating","stepTypeLabel","position","placeboRuns","placeboCorrect","controlAvgCorrect","targetAvgCorrect","placeboAvgCorrect","targetEffect","placeboEffect","pureSemanticEffect"
"prm-151724cd1bbe2b32","1","essential","middle","1","1","1","1","1","0","0","0"
"prm-15473e963522ff7f","1","essential","early","4","0","0","0","0","0","0","0"
"prm-158ef0683bb8bf70","-1","harmful","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-1590d85cae7720a6","1","redundant","late","4","3","1","0.25","0.75","-0.75","-0.25","-0.5"
"prm-16428e60085cafa9","1","essential","late","4","1","1","1","0.25","0","-0.75","0.75"
"prm-170a156ef3602f11","-1","harmful","early","4","0","0","0","0","0","0","0"
"prm-178620daeb1c879c","1","essential","late","1","1","1","1","1","0","0","0"
"prm-17ba4f9e4d89154f","-1","harmful","late","4","4","0","1","1","1","1","0"
"prm-17fa230838c04542","-1","redundant","early","4","1","1","0","0.25","-1","-0.75","-0.25"
"prm-1984cb49b132bdb6","0","harmful","middle","4","2","0.5","1","0.5","0.5","0","0.5"
"prm-1988846108e0f682","0","essential","early","4","0","0","0","0","0","0","0"
"prm-1989a099acb06f53","0","redundant","late","4","4","0.25","1","1","0.75","0.75","0"
"prm-1a376cfa6cfa9af8","-1","harmful","late","2","0","0","0","0","0","0","0"
"prm-1b82baadae1514fc","-1","harmful","early","3","0","0","0","0","0","0","0"
"prm-1c1e7874f91737bc","-1","harmful","early","2","0","0","0","0","0","0","0"
"prm-1d5a5cb08ca68e3d","-1","harmful","middle","4","2","0","0.75","0.5","0.75","0.5","0.25"
"prm-1d89b199249c7358","-1","harmful","late","3","0","0","0","0","0","0","0"
"prm-1ef2f094b18fa4d5","-1","harmful","early","4","0","1","1","0","0","-1","1"
"prm-1fa85012955acc38","1","essential","early","4","1","1","1","0.25","0","-0.75","0.75"
"prm-1fdd16bd5ee2ebb1","0","harmful","early","2","1","0","1","0.5","1","0.5","0.5"
"prm-200cc16bd7b20d90","1","redundant","early","4","3","1","1","0.75","0","-0.25","0.25"
"prm-210861cfb25add07","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-21878507d8f59c4d","1","redundant","late","3","3","1","1","1","0","0","0"
"prm-21c4281b443f082f","1","harmful","early","4","1","1","0.5","0.25","-0.5","-0.75","0.25"
"prm-22008191f0fcf07c","0","redundant","late","2","2","1","1","1","0","0","0"
"prm-23439bf6a10e0389","1","redundant","middle","4","4","1","1","1","0","0","0"
"prm-23547b2809b8fcf4","-1","harmful","middle","1","0","0","1","0","1","0","1"
"prm-23e4bf45fefddfca","-1","harmful","late","2","0","0.25","1","0","0.75","-0.25","1"
"prm-24135c674fb88634","-1","harmful","middle","2","1","0","1","0.5","1","0.5","0.5"
"prm-2413c903941648a5","-1","essential","early","4","0","0","1","0","1","0","1"
"prm-242890b88c115e2c","1","essential","late","1","1","0.75","0.25","1","-0.5","0.25","-0.75"
"prm-24a570f07e4ce807","1","redundant","late","4","3","1","0.25","0.75","-0.75","-0.25","-0.5"
"prm-24d79d07da1abeb8","0","essential","middle","2","1","1","1","0.5","0","-0.5","0.5"
"prm-2694ff7bb4a98ca8","0","redundant","early","4","4","1","1","1","0","0","0"
"prm-26cc0e5d412214d1","1","essential","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-27543090e207be07","0","redundant","early","1","1","0","0","1","0","1","-1"
"prm-27d0dda20005b851","-1","harmful","late","4","2","1","1","0.5","0","-0.5","0.5"
"prm-27e89528dea4c565","0","redundant","early","4","4","1","1","1","0","0","0"
"prm-2953ceb48c3d11eb","0","harmful","early","4","2","1","1","0.5","0","-0.5","0.5"
"prm-295680b6ca231154","-1","essential","early","4","3","1","1","0.75","0","-0.25","0.25"
"prm-297fe2bd5193998f","0","redundant","early","2","0","0","0","0","0","0","0"
"prm-2a5b9be75f2130c8","-1","harmful","early","3","1","0","1","0.333333333333333","1","0.333333333333333","0.666666666666667"
"prm-2c5e0537236b9a03","1","essential","early","4","4","0","0.25","1","0.25","1","-0.75"
"prm-2c6c822e00040ba8","-1","harmful","late","2","0","0","0","0","0","0","0"
"prm-2cb8f0ea41668c12","-1","harmful","late","3","1","0","0","0.333333333333333","0","0.333333333333333","-0.333333333333333"
"prm-2d19813fccf4dac9","0","redundant","late","4","3","0","0","0.75","0","0.75","-0.75"
"prm-2d2be0a20e1f55eb","0","essential","middle","2","0","0","0","0","0","0","0"
"prm-2d520973414e1dcb","1","redundant","middle","4","4","1","0.5","1","-0.5","0","-0.5"
"prm-2d92ce0491f2f56a","1","essential","middle","2","1","0.75","1","0.5","0.25","-0.25","0.5"
"prm-2dfd8218ce19b305","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-2e1055ac659ff29f","0","redundant","middle","1","1","1","1","1","0","0","0"
"prm-2e47da03eaad232d","0","redundant","early","4","4","0.75","1","1","0.25","0.25","0"
"prm-2e5c19fc0f94ad0f","1","redundant","middle","1","1","0.5","1","1","0.5","0.5","0"
"prm-2e89a40cec48c042","-1","harmful","early","2","0","0","1","0","1","0","1"
"prm-2ec389700747f531","0","redundant","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-2f5e5f1e6dacb0f7","-1","harmful","late","1","1","0","1","1","1","1","0"
"prm-2fbe6edf19120d31","-1","harmful","late","4","4","1","1","1","0","0","0"
"prm-30611e95e1fdab2f","1","redundant","early","4","2","1","1","0.5","0","-0.5","0.5"
"prm-310884399c5179a6","-1","harmful","middle","1","1","0","1","1","1","1","0"
"prm-315d6ba30914293a","0","redundant","late","4","1","0","0","0.25","0","0.25","-0.25"
"prm-317d37656fcc5ddd","0","essential","middle","4","4","1","1","1","0","0","0"
"prm-31f315049adee361","0","redundant","late","3","2","1","1","0.666666666666667","0","-0.333333333333333","0.333333333333333"
"prm-321715581e0e716b","0","harmful","late","4","2","0.25","0","0.5","-0.25","0.25","-0.5"
"prm-32376b54c0a0b41a","1","essential","late","1","1","1","1","1","0","0","0"
"prm-32b52a14659d1e3f","-1","redundant","early","4","2","1","1","0.5","0","-0.5","0.5"
"prm-32ce22f0573267db","1","redundant","early","4","0","0","1","0","1","0","1"
"prm-335e21a88e0969e0","0","redundant","early","3","2","1","0","0.666666666666667","-1","-0.333333333333333","-0.666666666666667"
"prm-33b6dd3dabd31070","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-3490f4298028248f","0","harmful","middle","4","1","1","1","0.25","0","-0.75","0.75"
"prm-359b37145eea0ad1","1","redundant","middle","4","3","1","1","0.75","0","-0.25","0.25"
"prm-36b1999ceae59aea","1","essential","middle","4","4","1","1","1","0","0","0"
"prm-36e206fe8afae4f8","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-372a06491c3ab4c3","1","essential","late","2","2","1","1","1","0","0","0"
"prm-374f893a0a7e07c4","1","redundant","early","1","1","1","1","1","0","0","0"
"prm-378914f040c48223","0","redundant","late","2","0","0","0.75","0","0.75","0","0.75"
"prm-39445cabc3c247f3","-1","harmful","late","4","1","0","0","0.25","0","0.25","-0.25"
"prm-3b8fc6d3080aade1","0","redundant","late","3","2","1","1","0.666666666666667","0","-0.333333333333333","0.333333333333333"
"prm-3d7ee20871a31c85","0","redundant","middle","4","2","1","0.25","0.5","-0.75","-0.5","-0.25"
"prm-3d9ad8daca3b8faa","-1","harmful","late","4","2","1","1","0.5","0","-0.5","0.5"
"prm-3dc58ac2c43483b2","-1","harmful","late","2","1","0","0","0.5","0","0.5","-0.5"
"prm-3e4ac009eae25363","-1","harmful","late","2","1","0","1","0.5","1","0.5","0.5"
"prm-3f6d462098747631","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-3fb0a1041b0e6522","-1","harmful","early","1","0","0","1","0","1","0","1"
"prm-42aa85293ce04d6c","1","redundant","middle","2","2","0","0","1","0","1","-1"
"prm-42aea905c1b49570","0","redundant","middle","4","3","1","1","0.75","0","-0.25","0.25"
"prm-4376ee5dd1ec051f","0","redundant","early","1","0","1","0.5","0","-0.5","-1","0.5"
"prm-4397a2362fedc5a3","1","essential","late","2","1","1","1","0.5","0","-0.5","0.5"
"prm-43a5c71b96bc6a02","-1","harmful","middle","4","2","0.25","0.25","0.5","0","0.25","-0.25"
"prm-44f81fba1d026488","0","redundant","middle","1","1","1","1","1","0","0","0"
"prm-45906351f0903519","1","essential","middle","3","2","0","0","0.666666666666667","0","0.666666666666667","-0.666666666666667"
"prm-45c25b865bce0fe1","-1","essential","early","2","0","0","0","0","0","0","0"
"prm-4657ae2feebcdcab","-1","harmful","middle","1","0","0","1","0","1","0","1"
"prm-47679397406393e0","1","redundant","early","4","4","0.75","1","1","0.25","0.25","0"
"prm-47a902d41e673ff6","0","redundant","middle","4","2","0.25","0.75","0.5","0.5","0.25","0.25"
"prm-48b0d62a1035c5eb","-1","harmful","early","3","3","1","1","1","0","0","0"
"prm-49db7302a176b729","0","harmful","early","4","4","1","0.5","1","-0.5","0","-0.5"
"prm-49dfa9357a3a5686","0","essential","late","2","2","1","0.75","1","-0.25","0","-0.25"
"prm-4a41ea6ca0473740","0","redundant","late","4","2","0","0.25","0.5","0.25","0.5","-0.25"
"prm-4b2cde83a58c010f","0","harmful","late","4","4","1","1","1","0","0","0"
"prm-4b587d923463065a","-1","essential","middle","2","0","0","0","0","0","0","0"
"prm-4c7b0daf67f174f2","0","harmful","middle","4","1","0","1","0.25","1","0.25","0.75"
"prm-4c8c15a6cba67d79","1","redundant","early","3","1","0","0","0.333333333333333","0","0.333333333333333","-0.333333333333333"
"prm-4d106f224c1f1477","0","redundant","middle","3","3","1","1","1","0","0","0"
"prm-4d125d919f106dbe","0","essential","late","1","1","1","1","1","0","0","0"
"prm-4dbc982a4c31d7d8","1","harmful","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-4dece02217f93500","0","redundant","late","4","4","1","0.25","1","-0.75","0","-0.75"
"prm-4e116a81462e9a1c","-1","harmful","middle","1","1","0","1","1","1","1","0"
"prm-4e153a707e488ac9","0","harmful","middle","4","4","1","0","1","-1","0","-1"
"prm-4ed42d1c12397218","-1","harmful","middle","2","0","0","0","0","0","0","0"
"prm-4f8665f0a19739c3","0","harmful","late","4","4","1","1","1","0","0","0"
"prm-4fe0f9ece87f57df","1","redundant","early","4","1","1","1","0.25","0","-0.75","0.75"
"prm-5145212ea7e026b0","-1","harmful","late","3","3","0","1","1","1","1","0"
"prm-51eccaad45590836","-1","harmful","middle","4","4","0.75","1","1","0.25","0.25","0"
"prm-52a853240fdce958","-1","harmful","late","1","1","0","0","1","0","1","-1"
"prm-52cd0d7cc6b4cdfc","1","essential","early","3","1","1","1","0.333333333333333","0","-0.666666666666667","0.666666666666667"
"prm-52ebf116b73ecf1a","-1","harmful","early","1","0","0","0","0","0","0","0"
"prm-542b09ca81c2a59d","1","harmful","middle","4","1","1","0","0.25","-1","-0.75","-0.25"
"prm-5464f1648525f7ea","1","essential","middle","3","3","1","1","1","0","0","0"
"prm-55383ac51f763ea4","-1","redundant","early","4","4","1","1","1","0","0","0"
"prm-554fe1d6b58f094f","0","harmful","late","4","2","1","1","0.5","0","-0.5","0.5"
"prm-55db6c6b79c6e553","1","redundant","late","1","1","1","1","1","0","0","0"
"prm-5636d3dc1eb6633f","-1","harmful","middle","4","3","1","1","0.75","0","-0.25","0.25"
"prm-5699f280aa96d018","1","essential","early","4","1","1","0.5","0.25","-0.5","-0.75","0.25"
"prm-569d7cf9abe65f34","1","essential","early","4","1","0","1","0.25","1","0.25","0.75"
"prm-56f31f0da676983f","-1","harmful","middle","2","1","0","0.75","0.5","0.75","0.5","0.25"
"prm-579dd704ce645be9","-1","harmful","middle","3","2","0","0","0.666666666666667","0","0.666666666666667","-0.666666666666667"
"prm-57a23b7d9d387a2d","0","harmful","middle","1","0","0","1","0","1","0","1"
"prm-57f3dc0fcc359327","-1","essential","early","4","0","0.25","0.25","0","0","-0.25","0.25"
"prm-58392d69449f6f68","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-5b41ee9b9b0d17ba","0","essential","early","4","1","0","1","0.25","1","0.25","0.75"
"prm-5b638cc553a8f6cc","0","essential","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-5bd12286ca047ec0","1","essential","early","4","4","1","1","1","0","0","0"
"prm-5be58b31f228d28e","-1","harmful","early","2","1","1","1","0.5","0","-0.5","0.5"
"prm-5c13d28d0d1e26be","0","redundant","early","4","4","1","1","1","0","0","0"
"prm-5c51e282ba7208e7","0","harmful","middle","4","4","1","1","1","0","0","0"
"prm-5f58d3f9cdbdd4cd","1","redundant","middle","4","4","1","1","1","0","0","0"
"prm-60717bf0ef4716f2","0","redundant","late","4","2","0.5","1","0.5","0.5","0","0.5"
"prm-60b56f07df1c7db4","-1","harmful","middle","4","0","0","0","0","0","0","0"
"prm-61500888ffe32624","1","essential","early","2","0","0.25","0.5","0","0.25","-0.25","0.5"
"prm-61fb797f33ef26d1","-1","harmful","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-62cd37cf091fe105","1","redundant","early","4","4","0.75","1","1","0.25","0.25","0"
"prm-6340032015881710","0","redundant","middle","2","2","1","1","1","0","0","0"
"prm-64052b65a1c192c7","-1","harmful","late","2","0","0","0","0","0","0","0"
"prm-64828b0b15ca157c","1","redundant","late","1","1","1","1","1","0","0","0"
"prm-649bf3fbe6231218","1","essential","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-64b8dd81d152bc1a","-1","harmful","late","1","1","0","0","1","0","1","-1"
"prm-64b92977ff492b9b","-1","essential","late","4","2","0","1","0.5","1","0.5","0.5"
"prm-64bd046dccaa7a10","0","redundant","late","4","2","0","0","0.5","0","0.5","-0.5"
"prm-64c48353bed266ed","0","essential","early","2","2","0.25","0.5","1","0.25","0.75","-0.5"
"prm-656a46c9640db820","0","redundant","early","3","2","1","0.25","0.666666666666667","-0.75","-0.333333333333333","-0.416666666666667"
"prm-65c1f64f7a99498a","1","essential","early","4","3","1","1","0.75","0","-0.25","0.25"
"prm-666a954e3bca4a2f","1","essential","late","1","0","0.75","0","0","-0.75","-0.75","0"
"prm-66bc41cfa62d57e2","1","essential","late","4","1","0.25","0","0.25","-0.25","0","-0.25"
"prm-67027b02bd4348a7","1","essential","middle","2","0","0","0","0","0","0","0"
"prm-677329b0cf4a5ef0","-1","harmful","late","3","0","0","0","0","0","0","0"
"prm-6810d2c059913e28","0","essential","middle","1","1","0","1","1","1","1","0"
"prm-685fe7b1359fce4f","1","redundant","middle","1","1","1","1","1","0","0","0"
"prm-68e9514e2eb03142","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-68f28d955828cf44","-1","harmful","middle","4","1","0","1","0.25","1","0.25","0.75"
"prm-694eda0133adae37","0","redundant","middle","2","2","1","1","1","0","0","0"
"prm-695b2bd8829139af","-1","harmful","early","2","0","0","0","0","0","0","0"
"prm-6994d64b52995162","-1","harmful","middle","1","0","0","0.25","0","0.25","0","0.25"
"prm-6a11cd36a6d48aac","0","harmful","middle","4","4","1","0.25","1","-0.75","0","-0.75"
"prm-6a48687cd49dd67e","-1","harmful","late","2","1","1","1","0.5","0","-0.5","0.5"
"prm-6a5663499dcdfb6e","1","essential","early","4","4","0.75","1","1","0.25","0.25","0"
"prm-6a679885fe24ca4d","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-6a6a0bdb19ba41d4","0","redundant","late","3","3","1","1","1","0","0","0"
"prm-6a8171dd86016c13","1","redundant","late","1","1","1","1","1","0","0","0"
"prm-6b1c6a29b6d1c9f7","0","harmful","early","1","0","0.75","1","0","0.25","-0.75","1"
"prm-6b443c0ab9016cf3","0","redundant","middle","2","2","1","1","1","0","0","0"
"prm-6bdba3a9023070a1","-1","harmful","middle","2","2","1","1","1","0","0","0"
"prm-6c4e585fba73949f","-1","harmful","middle","4","1","0","0.25","0.25","0.25","0.25","0"
"prm-6c647c9d900edecf","0","essential","late","1","0","0","0","0","0","0","0"
"prm-6c8f717ff62b444b","0","essential","early","1","0","0","0","0","0","0","0"
"prm-6d0334ee1141425e","0","essential","late","4","4","1","1","1","0","0","0"
"prm-6eb49d110f10f5c9","0","harmful","late","3","1","0","0.25","0.333333333333333","0.25","0.333333333333333","-0.0833333333333333"
"prm-6ee8687119787677","1","redundant","early","1","1","1","1","1","0","0","0"
"prm-6f55f9ad3924eda5","0","redundant","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-6fb0c8f8ee2ebabd","0","harmful","middle","4","2","0.75","1","0.5","0.25","-0.25","0.5"
"prm-707a079b8cebba7e","-1","harmful","early","2","1","0.5","1","0.5","0.5","0","0.5"
"prm-70a2e3a4f8362a3d","1","harmful","middle","2","2","1","1","1","0","0","0"
"prm-70a8ec8eb124a0b7","-1","harmful","early","1","0","0","0.25","0","0.25","0","0.25"
"prm-729feeaa6d7fd49e","1","essential","middle","4","1","1","0","0.25","-1","-0.75","-0.25"
"prm-734c17ddd0cff62a","1","essential","early","4","4","1","1","1","0","0","0"
"prm-73806d5bdc6ee15f","0","redundant","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-738ac1e91010e501","1","redundant","early","1","1","1","1","1","0","0","0"
"prm-7449b3260474567e","1","essential","late","3","3","1","1","1","0","0","0"
"prm-74cbbc536681f443","0","redundant","early","4","1","0.5","1","0.25","0.5","-0.25","0.75"
"prm-75ab2c1847631c14","0","redundant","middle","4","4","1","1","1","0","0","0"
"prm-7616aa089b45809c","0","essential","late","3","3","1","1","1","0","0","0"
"prm-762ceff54735d7f1","0","redundant","middle","3","3","1","1","1","0","0","0"
"prm-768b381d1efb643a","-1","harmful","middle","4","4","1","1","1","0","0","0"
"prm-76b2b2177dea50be","1","essential","late","4","3","0","0.75","0.75","0.75","0.75","0"
"prm-76baed35df6fb032","1","redundant","middle","3","3","1","1","1","0","0","0"
"prm-76efc721b39b6bd3","1","essential","late","4","4","1","1","1","0","0","0"
"prm-77a86cb6e4dfd1aa","1","essential","middle","2","2","1","0.75","1","-0.25","0","-0.25"
"prm-77fc0b169d8585bc","-1","harmful","early","3","0","0","1","0","1","0","1"
"prm-7805f2fb660af82c","1","essential","middle","1","0","0","1","0","1","0","1"
"prm-78bd280e7dee8d22","1","redundant","middle","4","2","1","1","0.5","0","-0.5","0.5"
"prm-79304f2f93ee36e7","-1","essential","late","4","1","0.75","0.75","0.25","0","-0.5","0.5"
"prm-7a422bc7fddfdf54","-1","harmful","middle","4","2","0.25","0","0.5","-0.25","0.25","-0.5"
"prm-7a6e2d9a9da28f78","-1","harmful","early","4","1","0","0.25","0.25","0.25","0.25","0"
"prm-7a821b119f49c100","1","redundant","early","4","2","1","0.75","0.5","-0.25","-0.5","0.25"
"prm-7aacc6952228d379","1","essential","late","2","2","1","1","1","0","0","0"
"prm-7af50adf0a42982f","1","redundant","early","4","2","0","0","0.5","0","0.5","-0.5"
"prm-7b57deaaa0d16f28","-1","harmful","early","4","1","0","0","0.25","0","0.25","-0.25"
"prm-7b6647a191e51a48","0","redundant","early","4","3","0.5","0.75","0.75","0.25","0.25","0"
"prm-7b9dea52f656c0bc","1","essential","middle","3","3","1","1","1","0","0","0"
"prm-7c4b728ac8b7ff8c","0","redundant","early","4","2","1","1","0.5","0","-0.5","0.5"
"prm-7c8b800f666a8d2b","0","redundant","late","3","3","1","1","1","0","0","0"
"prm-7ca8bf8fc95e2b20","-1","harmful","middle","4","0","0","0","0","0","0","0"
"prm-7cf98f01d85acf4d","1","harmful","middle","4","4","0.5","1","1","0.5","0.5","0"
"prm-7df4ff373ff4bd62","1","essential","middle","4","4","1","0","1","-1","0","-1"
"prm-7e6bdad2d7a80ef9","-1","harmful","middle","4","2","1","1","0.5","0","-0.5","0.5"
"prm-7f470224e279c9a5","-1","harmful","early","4","1","0","0","0.25","0","0.25","-0.25"
"prm-7fa27f0af15756ce","1","essential","middle","1","1","0.75","1","1","0.25","0.25","0"
"prm-809326ad29e9fe7f","0","harmful","middle","3","2","1","1","0.666666666666667","0","-0.333333333333333","0.333333333333333"
"prm-80def83e2346512b","-1","harmful","middle","2","1","1","0","0.5","-1","-0.5","-0.5"
"prm-8115590161527562","-1","harmful","early","4","0","0","0","0","0","0","0"
"prm-8169dadf3bfeafa7","1","essential","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-81d72916fff41df2","0","redundant","early","3","1","1","1","0.333333333333333","0","-0.666666666666667","0.666666666666667"
"prm-836cfecb0a834014","-1","harmful","middle","3","1","0","0.75","0.333333333333333","0.75","0.333333333333333","0.416666666666667"
"prm-84a947c7d146af3f","0","essential","middle","1","1","1","1","1","0","0","0"
"prm-84b3c6777c806334","-1","harmful","middle","3","1","0","0.5","0.333333333333333","0.5","0.333333333333333","0.166666666666667"
"prm-859d5c93d5ea0f57","0","harmful","middle","4","1","0","1","0.25","1","0.25","0.75"
"prm-85d7c7d738bdc28f","0","redundant","middle","3","2","1","1","0.666666666666667","0","-0.333333333333333","0.333333333333333"
"prm-87593f72c0253cec","1","essential","middle","4","4","1","1","1","0","0","0"
"prm-8866ba0f5b250195","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-8acbcd62bf310d16","1","redundant","middle","3","3","1","1","1","0","0","0"
"prm-8b05d5d648e57f29","-1","harmful","late","4","0","0","0","0","0","0","0"
"prm-8bd9e6649bc32eb5","1","essential","middle","4","2","1","1","0.5","0","-0.5","0.5"
"prm-8be5e8ce53ce132a","0","redundant","late","4","2","0","0.25","0.5","0.25","0.5","-0.25"
"prm-8bf0d8a37d2eb018","1","harmful","early","4","0","0","0","0","0","0","0"
"prm-8d743a4306b744df","0","redundant","late","4","2","0","0","0.5","0","0.5","-0.5"
"prm-8d8817bd48cf495e","-1","harmful","late","1","1","0","1","1","1","1","0"
"prm-8d9aac49538338f6","1","essential","early","4","4","1","1","1","0","0","0"
"prm-8dfa8dc3890bcfef","-1","harmful","middle","4","0","0","0","0","0","0","0"
"prm-8eab1f56bd806ddc","1","redundant","late","4","2","0.75","1","0.5","0.25","-0.25","0.5"
"prm-8fb8c12bb402ec2d","0","redundant","late","1","1","1","1","1","0","0","0"
"prm-901a3aa77c6c4dc2","1","harmful","middle","4","1","0","1","0.25","1","0.25","0.75"
"prm-911d5b9b5b289e39","-1","harmful","early","1","0","0","0","0","0","0","0"
"prm-9156dcd21a3e42c0","1","essential","middle","1","1","1","1","1","0","0","0"
"prm-91db4cb8cb67916a","1","redundant","early","4","3","1","0.75","0.75","-0.25","-0.25","0"
"prm-91df52b1208ea81d","1","essential","late","2","2","1","1","1","0","0","0"
"prm-923c29c44fa03eb6","-1","essential","late","4","4","1","1","1","0","0","0"
"prm-925200af07947f5c","0","redundant","middle","3","0","0.5","0","0","-0.5","-0.5","0"
"prm-92cd9c4d155c7994","0","redundant","early","1","1","1","1","1","0","0","0"
"prm-92e6c6de9151c528","1","essential","early","4","4","1","1","1","0","0","0"
"prm-932de7bca0e7c93d","0","redundant","early","4","1","1","0.75","0.25","-0.25","-0.75","0.5"
"prm-933bbb6ef939eb1f","-1","harmful","early","4","0","0.75","0","0","-0.75","-0.75","0"
"prm-94f01424485d8634","-1","harmful","middle","4","4","1","1","1","0","0","0"
"prm-95090e247bc58e1e","-1","harmful","middle","1","0","1","1","0","0","-1","1"
"prm-951e8e518dae1077","1","essential","late","4","4","1","1","1","0","0","0"
"prm-9689f5a49ddfdb3e","0","essential","late","1","1","1","0.25","1","-0.75","0","-0.75"
"prm-977f248f4b7b1084","0","redundant","middle","1","1","1","0.75","1","-0.25","0","-0.25"
"prm-98214e328bc84341","-1","harmful","middle","3","2","0","1","0.666666666666667","1","0.666666666666667","0.333333333333333"
"prm-99891d43a5e736a5","0","redundant","late","1","0","1","1","0","0","-1","1"
"prm-9a884b78e7527ff9","-1","harmful","middle","3","2","1","1","0.666666666666667","0","-0.333333333333333","0.333333333333333"
"prm-9aefc3c8b6098bf4","0","essential","early","2","0","0","0.25","0","0.25","0","0.25"
"prm-9b09489564767b9d","0","essential","early","1","0","1","1","0","0","-1","1"
"prm-9b1fccc8cdbe2d3c","0","redundant","early","2","0","0","0","0","0","0","0"
"prm-9c4e4a7aac1b200e","-1","harmful","middle","3","0","0","0.75","0","0.75","0","0.75"
"prm-9cdea0642dfb0680","0","harmful","middle","4","1","1","1","0.25","0","-0.75","0.75"
"prm-9d4dfc92d2809bdb","0","redundant","late","4","4","1","1","1","0","0","0"
