"id","displayOrder","rating","position","oldRemovable","oldStepType","oldModel"
"prm-87593f72c0253cec","28","1","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-6ecf2965f1e68c18","29","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-14e2f6c826426674","30","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-2d92ce0491f2f56a","31","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-666a954e3bca4a2f","32","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-6eb49d110f10f5c9","33","0","late","yes","harmful","deepseek/deepseek-v4-pro"
"prm-695b2bd8829139af","34","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-14c0129055d497b2","35","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-d987eb66b5f962dd","36","1","middle","yes","harmful","deepseek/deepseek-v4-pro"
"prm-372caf3f76fece1c","37","0","late","no","essential","deepseek/deepseek-v4-pro"
"prm-9a884b78e7527ff9","38","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-236816577f8edaf6","39","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-9f3753744da09c38","40","-1","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-f80db588fbe79fa9","41","1","middle","yes","harmful","deepseek/deepseek-v4-pro"
"prm-32b52a14659d1e3f","42","-1","early","yes","redundant","deepseek/deepseek-v4-pro"
"prm-12c0e402310b4521","43","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-2c6c822e00040ba8","44","-1","late","no","harmful","deepseek/deepseek-v4-pro"
"prm-6a6a0bdb19ba41d4","45","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-e46e6f9adff3443b","46","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-60717bf0ef4716f2","47","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-d018213d57c7afde","48","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-4fe0f9ece87f57df","49","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-26cc0e5d412214d1","50","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-14b4f8d6eb13ea00","51","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-23547b2809b8fcf4","52","-1","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-76b2b2177dea50be","53","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-aca8e5373e4b0749","54","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-ee1dd46f28f6c0e7","55","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-5145212ea7e026b0","56","-1","late","no","harmful","deepseek/deepseek-v4-pro"
"prm-84a947c7d146af3f","57","0","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-0e94635dc190f6f1","58","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-0638bc02d0338441","59","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-f6029ddde78e932f","60","1","late","no","harmful","deepseek/deepseek-v4-pro"
"prm-6d0334ee1141425e","61","0","late","no","essential","deepseek/deepseek-v4-pro"
"prm-f1ec503f118b2646","62","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-55db6c6b79c6e553","63","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-e26a030a97cd7abe","64","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-768b381d1efb643a","65","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-d9d73e3c7b609d81","66","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-a540f461a25e3009","67","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-70a8ec8eb124a0b7","68","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-32376b54c0a0b41a","69","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-decee9499f5fb0d7","70","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-059a20c710a38a1d","71","0","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-7b9dea52f656c0bc","72","1","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-ab761a525cce7441","73","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-65c1f64f7a99498a","74","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-8bd9e6649bc32eb5","75","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-85a7807d849d0e61","76","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-02ed1bb8af1a120d","77","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-d4c3a3c1d1cb0d1f","78","-1","middle","yes","harmful","deepseek/deepseek-v4-flash"
"prm-cb73032ead9c7309","79","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-45906351f0903519","80","1","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-00c77d8adaa4cb57","81","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-eb13f69f057980c9","82","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-77fc0b169d8585bc","83","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-2595a51b9bc687a5","84","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-310884399c5179a6","85","-1","middle","yes","harmful","deepseek/deepseek-v4-flash"
"prm-98214e328bc84341","86","-1","middle","yes","harmful","deepseek/deepseek-v4-flash"
"prm-16428e60085cafa9","87","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-ac91d34d7871bcbc","88","0","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-923c29c44fa03eb6","89","-1","late","no","essential","deepseek/deepseek-v4-pro"
"prm-a774fd18d4116fb7","90","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-bc4cdb54673acb6b","91","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-911d5b9b5b289e39","92","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
"prm-76efc721b39b6bd3","93","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-f902409b4b69ac6a","94","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-b78ab37efb3ac6fe","95","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-afff103ac71bacae","96","-1","late","yes","harmful","deepseek/deepseek-v4-flash"
"prm-94f01424485d8634","97","-1","middle","yes","harmful","deepseek/deepseek-v4-flash"
"prm-74cbbc536681f443","98","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-e4c8f952bd2bcb69","99","0","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-b16889ee222c85e0","100","0","middle","yes","harmful","deepseek/deepseek-v4-pro"
"prm-11c64fcd9adf9a8d","101","0","early","yes","harmful","deepseek/deepseek-v4-pro"
"prm-2e89a40cec48c042","102","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-d400c2ab50349260","103","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-bf49cda9c1b58b99","104","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
"prm-5c13d28d0d1e26be","105","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-6a8171dd86016c13","106","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-4397a2362fedc5a3","107","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-2f5e5f1e6dacb0f7","108","-1","late","yes","harmful","deepseek/deepseek-v4-flash"
"prm-4b587d923463065a","109","-1","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-a304fbad5368565d","110","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-2d2be0a20e1f55eb","111","0","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-b93ffe4952ee0425","112","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
"prm-71ed47ae96c446e4","113","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-1368cc3f0e85c6c9","114","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-de41ade60ddfc393","115","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-b35e05ba41e78a12","116","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-321715581e0e716b","117","0","late","no","harmful","deepseek/deepseek-v4-pro"
"prm-1a376cfa6cfa9af8","118","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-f5ad90a250e816d4","119","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-64bd046dccaa7a10","120","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-dfc9bfdaf9a344b2","121","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-170a156ef3602f11","122","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-bd5151d40527ffa0","123","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-55383ac51f763ea4","124","-1","early","yes","redundant","deepseek/deepseek-v4-pro"
"prm-8169dadf3bfeafa7","125","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-d87fe43bca23d224","126","-1","middle","yes","harmful","deepseek/deepseek-v4-flash"
"prm-fe7cc1b1ef70d69f","127","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-bf052d7ceb54371a","128","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
"prm-85d7c7d738bdc28f","129","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-4e116a81462e9a1c","130","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-f06f20e73957e088","131","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-f59567dc389816f6","132","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
"prm-a7a5bc91e1e562b3","133","0","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-c03abfd4982e0b4e","134","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-9f8de872e85deb1c","135","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-39445cabc3c247f3","136","-1","late","yes","harmful","deepseek/deepseek-v4-flash"
"prm-08ffb439fa587578","137","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-94b3b2909358d23e","138","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-e4f8aa072f5528f6","139","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-b59d428fdeb2db81","140","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-69589edd55211e2d","141","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-ca8fbd8bc5e76268","142","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-a0bf5d5817e64ebf","143","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-e742e4e78ed351e6","144","-1","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-2e47da03eaad232d","145","0","early","yes","redundant","deepseek/deepseek-v4-pro"
"prm-a1fd67bb0e47eb99","146","0","late","no","harmful","deepseek/deepseek-v4-pro"
"prm-729feeaa6d7fd49e","147","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-4d106f224c1f1477","148","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-e2765e9155dae75b","149","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-85a91c7360442cec","150","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-685fe7b1359fce4f","151","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-2694ff7bb4a98ca8","152","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-8115590161527562","153","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-21c4281b443f082f","154","1","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-c3c805b2888f0c71","155","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-49db7302a176b729","156","0","early","yes","harmful","deepseek/deepseek-v4-pro"
"prm-9d7450aa50a1cc3f","157","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-24a570f07e4ce807","158","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-f28e06b3ccb9dfd8","159","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-1c1e7874f91737bc","160","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
"prm-f9aa238ea730d105","161","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-2e5c19fc0f94ad0f","162","1","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-b659045eab2bbc92","163","0","early","yes","harmful","deepseek/deepseek-v4-pro"
"prm-579dd704ce645be9","164","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-42aea905c1b49570","165","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-db5fb9c45b89211e","166","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-b1b1d1fed6ca6e88","167","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-e165ab188607be7d","168","-1","early","no","essential","deepseek/deepseek-v4-pro"
"prm-a17bb33b5cced852","169","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-57b082ca295d4211","170","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-67c15cd755da8374","171","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-0c1ebea011e80ccd","172","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-b2a4ce5f01127d75","173","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-e8da447d3e7aeca5","174","-1","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-56f31f0da676983f","175","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-1988846108e0f682","176","0","early","no","essential","deepseek/deepseek-v4-pro"
"prm-1363a310736c9808","177","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-1ef2f094b18fa4d5","178","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-b4ce181080c6935d","179","-1","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-e5218a9b5d49ef04","180","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-934ae181dbf1e5d6","181","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-4a41ea6ca0473740","182","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-df9bfb129e27eea5","183","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-cfbe55fef530eeea","184","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-c5d23e135f1567c3","185","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-17ba4f9e4d89154f","186","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-6a5663499dcdfb6e","187","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-9e945c5a20713eba","188","0","late","no","essential","deepseek/deepseek-v4-pro"
"prm-bf79591055298bcd","189","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-61fb797f33ef26d1","190","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-d828d740ba9cd096","191","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-81dd96c2af2f5b96","192","1","early","no","essential","deepseek/deepseek-v4-pro"
"prm-53e6ba65d64de23f","193","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-569d7cf9abe65f34","194","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-51383cc20140c6d4","195","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-60b56f07df1c7db4","196","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-738ac1e91010e501","197","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-ebe33b841de11dec","198","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-178620daeb1c879c","199","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-0ea143eb25e18743","200","0","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-48b0d62a1035c5eb","201","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-1eb61d347e7307c6","202","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-6c647c9d900edecf","203","0","late","no","essential","deepseek/deepseek-v4-pro"
"prm-7616aa089b45809c","204","0","late","no","essential","deepseek/deepseek-v4-pro"
"prm-c5d0b2ae9f6de94a","205","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-32ce22f0573267db","206","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-73806d5bdc6ee15f","207","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-44adc004d54b0a92","208","0","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-e853a7a5555f3056","209","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-def1910362f8da38","210","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-2d520973414e1dcb","211","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-0000660f74dea7ea","212","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-6fb0c8f8ee2ebabd","213","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-3d9ad8daca3b8faa","214","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-2413c903941648a5","215","-1","early","no","essential","deepseek/deepseek-v4-pro"
"prm-45c25b865bce0fe1","216","-1","early","no","essential","deepseek/deepseek-v4-pro"
"prm-c7fdd3c01ea7968c","217","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-b30d7b8afa669a70","218","-1","early","no","essential","deepseek/deepseek-v4-pro"
"prm-9d4dfc92d2809bdb","219","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-d22d355799e3baaf","220","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-735ea9ae49ab1cf2","221","0","early","no","essential","deepseek/deepseek-v4-pro"
"prm-fe9bce2e8059e597","222","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-caf345262620d432","223","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-2a5b9be75f2130c8","224","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-7cf98f01d85acf4d","225","1","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-f43ad1cb6c3aa6ba","226","0","late","no","essential","deepseek/deepseek-v4-pro"
"prm-f66c436ea5314143","227","-1","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-e457a6097bf292ad","228","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-d43403303ce7ca47","229","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-91db4cb8cb67916a","230","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-24135c674fb88634","231","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-d139e98806701b02","232","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-499e50d1f2d6148c","233","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
"prm-e31d87a5f18e7b0e","234","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-02dc733a400c8a44","235","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-d9a76b21965836c2","236","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-a3a05daf8f16a52f","237","0","early","no","essential","deepseek/deepseek-v4-pro"
"prm-47679397406393e0","238","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-1b82baadae1514fc","239","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-01441d1b7d95366c","240","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-8acbcd62bf310d16","241","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-14fb1048eb99d376","242","-1","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-295680b6ca231154","243","-1","early","no","essential","deepseek/deepseek-v4-pro"
"prm-f2aca719a99dc3e9","244","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-47a902d41e673ff6","245","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-0700321e0038e3d1","246","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-9156dcd21a3e42c0","247","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-14c85f1b92bf8cfb","248","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-8fb8c12bb402ec2d","249","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-65435eea6f0c0b9a","250","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-66bc41cfa62d57e2","251","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-2dfd8218ce19b305","252","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-b7f05eda927bf837","253","0","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-57a23b7d9d387a2d","254","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-e0c68e2f69c92ce1","255","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-ac01250021f796d9","256","0","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-0ade6393f937db17","257","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-77a86cb6e4dfd1aa","258","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-99891d43a5e736a5","259","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-977f248f4b7b1084","260","0","middle","yes","redundant","deepseek/deepseek-v4-pro"
"prm-f77af5e177e450d9","261","0","late","no","essential","deepseek/deepseek-v4-pro"
"prm-55ea704e2707c428","262","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-3ef9d1189683f74d","263","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-51eccaad45590836","264","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-ac1c971aefdf8aad","265","0","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-14d4896af9e2f42b","266","-1","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-e5b42c42ddfdfe89","267","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-24a4a38cf78a16b4","268","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-4dbc982a4c31d7d8","269","1","late","no","harmful","deepseek/deepseek-v4-pro"
"prm-92cd9c4d155c7994","270","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-d86397c6b2e063ff","271","0","early","no","essential","deepseek/deepseek-v4-pro"
"prm-fb4120427f491cb1","272","1","late","no","harmful","deepseek/deepseek-v4-pro"
"prm-b141684d5ef466c9","273","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-00177cb1b6246e3e","274","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-edfe3301d75e7278","275","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-64c48353bed266ed","276","0","early","no","essential","deepseek/deepseek-v4-pro"
"prm-9aefc3c8b6098bf4","277","0","early","no","essential","deepseek/deepseek-v4-pro"
"prm-210861cfb25add07","278","0","late","yes","redundant","deepseek/deepseek-v4-pro"
"prm-fa87724dc0063e72","279","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-7a6e2d9a9da28f78","280","-1","early","no","harmful","deepseek/deepseek-v4-flash"
"prm-656a46c9640db820","281","0","early","yes","redundant","deepseek/deepseek-v4-pro"
"prm-d9e44ee7bd1dadc6","282","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-7a821b119f49c100","283","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-76baed35df6fb032","284","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-f418b9680e5a9dc1","285","-1","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-33b6dd3dabd31070","286","-1","middle","yes","harmful","deepseek/deepseek-v4-flash"
"prm-23e4bf45fefddfca","287","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-ea4bf8ee91052d6e","288","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-22008191f0fcf07c","289","0","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-d53813f5acf46dc2","290","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-27543090e207be07","291","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-374f893a0a7e07c4","292","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-6b443c0ab9016cf3","293","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-9b09489564767b9d","294","0","early","no","essential","deepseek/deepseek-v4-pro"
"prm-b02cba206762c771","295","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-1590d85cae7720a6","296","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-8d9aac49538338f6","297","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-d14414ada709f204","298","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-c00e9d4b22a619cf","299","0","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-6994d64b52995162","300","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-3490f4298028248f","301","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-896614eb571273fb","302","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-5163da324c8a2bc9","303","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-060b37de44a23f9c","304","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-6a48687cd49dd67e","305","-1","late","yes","harmful","deepseek/deepseek-v4-flash"
"prm-bcf33e68e625980e","306","-1","early","yes","harmful","deepseek/deepseek-v4-flash"
