step_id,problem_id,strong_control_group,prm_rating,step_type_human_calibrated,position_bin,position_ratio,target_tokens,prefix_tokens,control_correct_count,placebo_eligible,reuse_c0_c1_runs,new_c2_placebo_runs,new_c3_paraphrase_runs
prm-6c4e585fba73949f,problem-5932169135a7e725,negative_anchor,-1,harmful,middle,0.5556,35,519,0,1,4,4,4
prm-707a079b8cebba7e,problem-5bf83c63cfb01744,negative_anchor,-1,harmful,early,0.2500,75,402,2,1,4,4,4
prm-70a8ec8eb124a0b7,problem-bd24d198763397d2,negative_anchor,-1,harmful,early,0.2000,59,409,0,1,4,4,4
prm-7a6e2d9a9da28f78,problem-cb95bc64c75cf167,negative_anchor,-1,harmful,early,0.2381,30,447,0,1,4,4,4
prm-7ca8bf8fc95e2b20,problem-7b5a516cad6a7a6d,negative_anchor,-1,harmful,middle,0.4737,58,718,0,1,4,4,4
prm-7e6bdad2d7a80ef9,problem-fa8130795d8510ae,negative_anchor,-1,harmful,middle,0.4762,43,719,4,1,4,4,4
prm-7f470224e279c9a5,problem-d4b549c0bfc69f15,negative_anchor,-1,harmful,early,0.2222,110,480,0,1,4,4,4
prm-836cfecb0a834014,problem-0410748c1e76e3d4,negative_anchor,-1,harmful,middle,0.4545,35,420,0,1,4,4,4
prm-8b05d5d648e57f29,problem-ab8474b5c891f6bb,negative_anchor,-1,harmful,late,1.0000,27,1022,0,1,4,4,4
prm-8dfa8dc3890bcfef,problem-27304254dfee5d97,negative_anchor,-1,harmful,middle,0.5926,22,741,0,1,4,4,4
prm-933bbb6ef939eb1f,problem-f5538ac4bbbed1cd,negative_anchor,-1,harmful,early,0.1892,33,463,3,1,4,4,4
prm-94f01424485d8634,problem-76bb173b20d420b6,negative_anchor,-1,harmful,middle,0.6250,48,530,4,1,4,4,4
prm-9a884b78e7527ff9,problem-4928f50ac88f7a16,negative_anchor,-1,harmful,middle,0.5000,41,488,4,1,4,4,4
prm-9d7450aa50a1cc3f,problem-25b30ae82b7937f0,negative_anchor,-1,harmful,middle,0.6154,48,493,4,1,4,4,4
prm-9db27c5e8855d8c2,problem-61623a4f6df2088f,negative_anchor,-1,harmful,late,0.7273,105,869,4,1,4,4,4
prm-9f3753744da09c38,problem-81dd044c95a0fca3,negative_anchor,-1,harmful,middle,0.4167,26,576,0,1,4,4,4
prm-a081faca165fd59b,problem-1ea3d389e0493b48,negative_anchor,-1,harmful,early,0.0417,35,430,0,1,4,4,4
prm-a15fb929dff59e97,problem-8e69fc01349a975d,negative_anchor,-1,harmful,middle,0.4000,48,616,0,1,4,4,4
prm-a304fbad5368565d,problem-edc76d80b3d26c0a,negative_anchor,-1,harmful,late,0.7778,45,608,1,1,4,4,4
prm-a8f0f0d569ae9708,problem-eee898cfa2cd6785,negative_anchor,-1,harmful,late,0.8462,49,679,0,1,4,4,4
prm-ac1b5da6715754b0,problem-68c9e3705000687e,negative_anchor,-1,harmful,early,0.0741,25,476,0,1,4,4,4
prm-afff103ac71bacae,problem-0410748c1e76e3d4,negative_anchor,-1,harmful,late,0.7273,48,499,0,1,4,4,4
prm-b46df73b9c7f1dd9,problem-7d076f64a5e86762,negative_anchor,-1,harmful,late,0.7500,40,485,0,1,4,4,4
prm-b78ab37efb3ac6fe,problem-dd48d65e326606be,negative_anchor,-1,harmful,late,0.8667,55,671,4,1,4,4,4
prm-b8457436293d4e60,problem-92992c0e162b3d6d,negative_anchor,-1,harmful,late,0.9167,38,559,0,1,4,4,4
prm-b93ffe4952ee0425,problem-2bb95410df5e904e,negative_anchor,-1,harmful,early,0.2500,26,419,4,1,4,4,4
prm-bcf33e68e625980e,problem-dbe25f76577aa227,negative_anchor,-1,harmful,early,0.0000,57,369,0,1,4,4,4
prm-bf49cda9c1b58b99,problem-24416ee05263b731,negative_anchor,-1,harmful,early,0.1765,69,407,4,1,4,4,4
prm-bf79591055298bcd,problem-d051c7975db227d7,negative_anchor,-1,harmful,late,0.8667,51,1033,0,1,4,4,4
prm-c95d41ec650cb773,problem-86429feba2dedf48,negative_anchor,-1,harmful,middle,0.5833,31,578,4,1,4,4,4
prm-ce7da7c55243f250,problem-68c9e3705000687e,negative_anchor,-1,harmful,early,0.1250,101,476,1,1,4,4,4
prm-d22d355799e3baaf,problem-42517366b010dd6b,negative_anchor,-1,harmful,middle,0.5333,35,721,0,1,4,4,4
prm-d4c3a3c1d1cb0d1f,problem-b498a7ba21bcc97c,negative_anchor,-1,harmful,middle,0.3333,27,459,4,1,4,4,4
prm-d7fbf32a29279602,problem-e85714844acfd069,negative_anchor,-1,harmful,middle,0.3571,38,769,0,1,4,4,4
prm-dba05e0cd479b592,problem-a761c38205b1ac25,negative_anchor,-1,harmful,middle,0.6154,43,680,0,1,4,4,4
prm-dbb76c0284dc2629,problem-108f81538ad8d2c1,negative_anchor,-1,harmful,early,0.1250,36,458,0,1,4,4,4
prm-dd448bdba8557edf,problem-09bee343ecbddf16,negative_anchor,-1,harmful,middle,0.4444,39,479,0,1,4,4,4
prm-decee9499f5fb0d7,problem-ab7e10c4af73c9ed,negative_anchor,-1,harmful,late,0.9000,30,504,0,1,4,4,4
prm-e5218a9b5d49ef04,problem-44174d8b3df5f07b,negative_anchor,-1,harmful,early,0.2000,32,310,0,1,4,4,4
prm-edfe3301d75e7278,problem-ea0162ad089adfef,negative_anchor,-1,harmful,late,0.9231,38,805,0,1,4,4,4
prm-f17b27e710e8f147,problem-81dd044c95a0fca3,negative_anchor,-1,harmful,early,0.0833,79,416,0,1,4,4,4
prm-f1c09b6fd89155cf,problem-310d3a0451c5bb4a,negative_anchor,-1,harmful,late,0.9000,42,593,2,1,4,4,4
prm-f2aca719a99dc3e9,problem-5a8c50102096a59a,negative_anchor,-1,harmful,late,0.8462,47,723,0,1,4,4,4
prm-f2ca2a7324883c6d,problem-98ba12c744ebd5e7,negative_anchor,-1,harmful,late,0.7500,29,459,0,1,4,4,4
prm-f59567dc389816f6,problem-4090b3789beffe72,negative_anchor,-1,harmful,early,0.1250,132,420,0,1,4,4,4
prm-f65a99197bf57f66,problem-4f1949500aa128e9,negative_anchor,-1,harmful,middle,0.6190,46,796,0,1,4,4,4
prm-f7aa110cdcd4de1b,problem-a89fbb80da4fb265,negative_anchor,-1,harmful,middle,0.6000,39,561,4,1,4,4,4
prm-01441d1b7d95366c,problem-cbe5b6b45a9ab948,neutral_comparison,1,essential,middle,0.4000,58,426,0,1,4,4,4
prm-0219e874907d9144,problem-4639686b328fdf30,neutral_comparison,0,redundant,late,0.6897,35,932,0,1,4,4,4
prm-0835351a60d3a191,problem-7b5a516cad6a7a6d,neutral_comparison,1,essential,early,0.1579,44,450,2,1,4,4,4
prm-090c92a536a6f7cf,problem-86dafa426d0346e1,neutral_comparison,0,redundant,early,0.2222,30,346,0,1,4,4,4
prm-0b2c173096bce7b5,problem-70cf8bf9114223fc,neutral_comparison,1,redundant,early,0.0000,14,325,0,1,4,4,4
prm-0cbc0287aab226af,problem-5932169135a7e725,neutral_comparison,0,harmful,middle,0.4444,34,485,2,1,4,4,4
prm-1032a7112c293158,problem-ebebe01a18f218d6,neutral_comparison,1,redundant,early,0.0000,20,312,0,1,4,4,4
prm-11c64fcd9adf9a8d,problem-4e48831b718f7ba2,neutral_comparison,0,harmful,early,0.1111,44,392,0,1,4,4,4
prm-12bc5c8b425e5765,problem-1a7c478bb9ae0d78,neutral_comparison,1,essential,late,0.6667,28,468,0,1,4,4,4
prm-1988846108e0f682,problem-4e48831b718f7ba2,neutral_comparison,0,essential,early,0.1579,40,385,0,1,4,4,4
prm-1989a099acb06f53,problem-1866ff06f6f007c8,neutral_comparison,0,redundant,late,0.7059,52,652,1,1,4,4,4
prm-1fdd16bd5ee2ebb1,problem-0d469d0ece1c8db4,neutral_comparison,0,harmful,early,0.1667,35,317,0,1,4,4,4
prm-27543090e207be07,problem-29b2b39dd7862f9d,neutral_comparison,0,essential,early,0.2000,27,311,0,1,4,4,4
prm-297fe2bd5193998f,problem-89ee4e5ddd25b8e0,neutral_comparison,0,redundant,early,0.0000,29,300,0,1,4,4,4
prm-2d19813fccf4dac9,problem-92992c0e162b3d6d,neutral_comparison,0,harmful,late,0.7273,39,540,0,1,4,4,4
prm-2d2be0a20e1f55eb,problem-4e48831b718f7ba2,neutral_comparison,0,essential,middle,0.4375,61,592,0,1,4,4,4
prm-2d92ce0491f2f56a,problem-5d4e128b653312de,neutral_comparison,1,redundant,middle,0.3333,36,440,3,1,4,4,4
prm-2e5c19fc0f94ad0f,problem-6195174aabf201f9,neutral_comparison,1,redundant,middle,0.4444,20,455,2,1,4,4,4
prm-315d6ba30914293a,problem-4639686b328fdf30,neutral_comparison,0,redundant,late,0.7586,36,1001,0,1,4,4,4
prm-321715581e0e716b,problem-b884ea4dff439d89,neutral_comparison,0,harmful,late,0.8000,33,614,1,1,4,4,4
prm-378914f040c48223,problem-ab8474b5c891f6bb,neutral_comparison,0,redundant,late,0.9444,62,960,0,1,4,4,4
prm-42aa85293ce04d6c,problem-ab7e10c4af73c9ed,neutral_comparison,1,redundant,middle,0.6154,14,432,0,1,4,4,4
prm-45906351f0903519,problem-a66962fe3ac65ca5,neutral_comparison,1,harmful,middle,0.5556,35,491,0,1,4,4,4
prm-47679397406393e0,problem-22d4c2de98f5c342,neutral_comparison,1,redundant,early,0.2500,22,425,3,1,4,4,4
prm-47a902d41e673ff6,problem-116237dfe3dbfe5a,neutral_comparison,0,redundant,middle,0.5200,37,647,1,1,4,4,4
prm-4c8c15a6cba67d79,problem-96a8c62f9c87bbff,neutral_comparison,1,harmful,early,0.1176,19,358,0,1,4,4,4
prm-57a23b7d9d387a2d,problem-32b099c0f5aec3b1,neutral_comparison,0,harmful,middle,0.4737,54,610,0,1,4,4,4
prm-61500888ffe32624,problem-d699cb734c33a748,neutral_comparison,1,essential,early,0.3000,33,431,1,1,4,4,4
prm-62cd37cf091fe105,problem-3367017f1ecb3df4,neutral_comparison,1,essential,early,0.0000,28,332,3,1,4,4,4
prm-64c48353bed266ed,problem-07f83eec628533b9,neutral_comparison,0,redundant,early,0.1875,31,437,1,1,4,4,4
prm-666a954e3bca4a2f,problem-9d135f320cbe07b9,neutral_comparison,1,essential,late,0.7778,33,548,3,1,4,4,4
prm-6810d2c059913e28,problem-150eaf9aec741382,neutral_comparison,0,essential,middle,0.5455,48,473,0,1,4,4,4
prm-6c647c9d900edecf,problem-ec4a6e5635d208d7,neutral_comparison,0,harmful,late,0.8889,54,905,0,1,4,4,4
prm-6c8f717ff62b444b,problem-29b2b39dd7862f9d,neutral_comparison,0,essential,early,0.0000,22,289,0,1,4,4,4
prm-6eb49d110f10f5c9,problem-116237dfe3dbfe5a,neutral_comparison,0,essential,late,0.7143,47,473,0,1,4,4,4
prm-6fb0c8f8ee2ebabd,problem-8c8f96252d975acd,neutral_comparison,0,redundant,middle,0.4000,24,531,3,1,4,4,4
prm-76b2b2177dea50be,problem-27304254dfee5d97,neutral_comparison,1,essential,late,0.7857,37,645,0,1,4,4,4
prm-7805f2fb660af82c,problem-e560d5cf6d3fecc5,neutral_comparison,1,essential,middle,0.5000,69,478,0,1,4,4,4
prm-7cf98f01d85acf4d,problem-d4b934f6ede28d75,neutral_comparison,1,essential,middle,0.6471,57,858,2,1,4,4,4
prm-7fa27f0af15756ce,problem-6195174aabf201f9,neutral_comparison,1,essential,middle,0.3333,71,369,3,1,4,4,4
prm-8be5e8ce53ce132a,problem-4639686b328fdf30,neutral_comparison,0,redundant,late,0.8276,37,1073,0,1,4,4,4
prm-8d743a4306b744df,problem-4639686b328fdf30,neutral_comparison,0,essential,late,0.7241,34,967,0,1,4,4,4
prm-8eab1f56bd806ddc,problem-f75c04ea2e983a23,neutral_comparison,1,essential,late,0.6667,32,494,3,1,4,4,4
prm-925200af07947f5c,problem-0809a483e113340d,neutral_comparison,0,essential,middle,0.4167,44,510,2,1,4,4,4
prm-a625e035a295d2bd,problem-cb95bc64c75cf167,neutral_comparison,0,essential,early,0.0000,33,320,2,1,4,4,4
prm-ab761a525cce7441,problem-af2fadb634c99ff9,neutral_comparison,1,essential,middle,0.5000,45,385,0,1,4,4,4
prm-ac01250021f796d9,problem-4639686b328fdf30,neutral_comparison,0,essential,middle,0.3793,28,675,0,1,4,4,4
prm-ad9e7fa994103189,problem-22b1b3e31b49a035,neutral_comparison,0,redundant,middle,0.4286,35,387,0,1,4,4,4
prm-ae250ba55293ea93,problem-a89fbb80da4fb265,neutral_comparison,1,redundant,early,0.2308,41,452,2,1,4,4,4
prm-b09e1aa4bb87ee7c,problem-a0041119ec9c197c,neutral_comparison,1,essential,late,0.8000,18,724,0,1,4,4,4
prm-b1b1d1fed6ca6e88,problem-88bd1d429ff4da88,neutral_comparison,0,redundant,early,0.2143,40,498,0,1,4,4,4
prm-b4172ae8c86b6f76,problem-d3610a7a74514575,neutral_comparison,0,redundant,early,0.3077,36,659,1,1,4,4,4
prm-b51944c22596b644,problem-9855ca472cb26c0b,neutral_comparison,1,essential,late,0.7000,35,500,0,1,4,4,4
prm-b51dfeb3b8305067,problem-fdc8aba1c1ade2de,neutral_comparison,1,essential,early,0.2500,65,606,0,1,4,4,4
prm-b7f05eda927bf837,problem-72d9cb6397e8c5fb,neutral_comparison,0,redundant,middle,0.4000,75,828,1,1,4,4,4
prm-b8a1339e40d14487,problem-92992c0e162b3d6d,neutral_comparison,0,harmful,middle,0.6364,35,505,0,1,4,4,4
prm-bd5151d40527ffa0,problem-80883c8d718e7942,neutral_comparison,0,redundant,middle,0.4000,24,453,0,1,4,4,4
prm-bd9c89c30ff0439e,problem-59930f06199891a2,neutral_comparison,1,essential,late,0.6667,28,549,3,1,4,4,4
prm-bdb3ede8ec7d1902,problem-ca9cbef015dfaab2,neutral_comparison,0,redundant,middle,0.4000,17,549,0,1,4,4,4
prm-c1d4d174440821f2,problem-ab8474b5c891f6bb,neutral_comparison,0,essential,late,0.8889,51,909,2,1,4,4,4
prm-c1da18d5eb32eafe,problem-ced521d94764b4a3,neutral_comparison,1,harmful,early,0.2692,75,624,0,1,4,4,4
prm-c5d0b2ae9f6de94a,problem-42517366b010dd6b,neutral_comparison,1,redundant,middle,0.5217,20,592,2,1,4,4,4
prm-c7fdd3c01ea7968c,problem-3c77f3abead87cb6,neutral_comparison,1,essential,late,0.6923,35,538,2,1,4,4,4
prm-ca096eb77c3d707b,problem-108f81538ad8d2c1,neutral_comparison,0,redundant,early,0.2857,19,486,0,1,4,4,4
prm-ca8fbd8bc5e76268,problem-3cd65d338d7fdcc9,neutral_comparison,1,redundant,early,0.0556,51,357,0,1,4,4,4
prm-cfef1e0669eb8eee,problem-ab7e10c4af73c9ed,neutral_comparison,1,essential,early,0.3000,33,351,0,1,4,4,4
prm-d14414ada709f204,problem-6bb3caecbae2a0c3,neutral_comparison,0,redundant,early,0.2727,68,446,0,1,4,4,4
prm-d43403303ce7ca47,problem-ab8474b5c891f6bb,neutral_comparison,0,essential,late,0.7222,32,822,0,1,4,4,4
prm-d987eb66b5f962dd,problem-89ee4e5ddd25b8e0,neutral_comparison,1,harmful,middle,0.4000,40,513,0,1,4,4,4
prm-de925ec448909016,problem-83233254b974f8d3,neutral_comparison,1,essential,middle,0.6364,29,826,0,1,4,4,4
prm-e4f8aa072f5528f6,problem-a3f40663ba19390b,neutral_comparison,1,essential,early,0.0870,22,402,0,1,4,4,4
prm-e5b42c42ddfdfe89,problem-72d9cb6397e8c5fb,neutral_comparison,0,redundant,early,0.0000,41,486,1,1,4,4,4
prm-ea9c90dcf0197292,problem-7b5a516cad6a7a6d,neutral_comparison,0,redundant,middle,0.5000,24,547,0,1,4,4,4
prm-f20b3a116ae0c86a,problem-20855ff8e775267f,neutral_comparison,0,essential,late,0.7059,44,669,2,1,4,4,4
prm-f43ad1cb6c3aa6ba,problem-4639686b328fdf30,neutral_comparison,0,essential,late,0.7059,20,646,0,1,4,4,4
prm-f5ad90a250e816d4,problem-5a8c50102096a59a,neutral_comparison,0,redundant,late,0.7778,17,1192,2,1,4,4,4
prm-f77af5e177e450d9,problem-30257ce512a9dbe4,neutral_comparison,0,essential,late,0.8000,50,730,2,1,4,4,4
prm-f902409b4b69ac6a,problem-4639686b328fdf30,neutral_comparison,1,redundant,middle,0.5294,21,578,0,1,4,4,4
prm-fde519a4d71d112d,problem-96a8c62f9c87bbff,neutral_comparison,1,redundant,late,0.6875,16,613,0,1,4,4,4
prm-feab03f43e4af912,problem-4639686b328fdf30,neutral_comparison,0,redundant,late,0.7931,36,1037,3,1,4,4,4
prm-059a20c710a38a1d,problem-5acc6365946cc933,stable_correct,0,essential,middle,0.6154,27,507,4,1,4,4,4
prm-0638bc02d0338441,problem-2ac3a772d4b2a706,stable_correct,1,redundant,middle,0.5455,43,695,4,1,4,4,4
prm-151724cd1bbe2b32,problem-63fb0c19be9bfc02,stable_correct,1,essential,middle,0.4286,38,390,4,1,4,4,4
prm-16428e60085cafa9,problem-30257ce512a9dbe4,stable_correct,1,essential,late,0.7000,25,684,4,1,4,4,4
prm-1fa85012955acc38,problem-9f3b9f8d7ae2958e,stable_correct,1,essential,early,0.2308,20,442,4,1,4,4,4
prm-22008191f0fcf07c,problem-d43b5b59260aea9d,stable_correct,0,essential,late,0.7692,70,1131,4,1,4,4,4
prm-24d79d07da1abeb8,problem-ecf5fa925de2e2ec,stable_correct,0,essential,middle,0.3333,41,425,4,1,4,4,4
prm-295680b6ca231154,problem-3367017f1ecb3df4,stable_correct,-1,essential,early,0.1579,31,434,4,1,4,4,4
prm-2d520973414e1dcb,problem-1866ff06f6f007c8,stable_correct,1,redundant,middle,0.4706,44,506,4,1,4,4,4
prm-30611e95e1fdab2f,problem-26def20db88cf572,stable_correct,1,redundant,early,0.0000,24,379,4,1,4,4,4
prm-317d37656fcc5ddd,problem-24416ee05263b731,stable_correct,0,essential,middle,0.3333,43,394,4,1,4,4,4
prm-31f315049adee361,problem-a3f40663ba19390b,stable_correct,0,essential,late,0.9643,45,1036,4,1,4,4,4
prm-335e21a88e0969e0,problem-b366ba898e337926,stable_correct,0,redundant,early,0.0000,15,272,4,1,4,4,4
prm-3490f4298028248f,problem-32b099c0f5aec3b1,stable_correct,0,redundant,middle,0.3684,28,567,4,1,4,4,4
prm-36e206fe8afae4f8,problem-b85cd3a0d61d8d2a,stable_correct,0,redundant,late,0.7692,26,553,4,1,4,4,4
prm-3d7ee20871a31c85,problem-5a8c50102096a59a,stable_correct,0,redundant,middle,0.3333,18,837,4,1,4,4,4
prm-4397a2362fedc5a3,problem-eb3187c38ab27028,stable_correct,1,essential,late,0.6667,23,478,4,1,4,4,4
prm-49db7302a176b729,problem-59b3380466ff1adb,stable_correct,0,redundant,early,0.0000,22,282,4,1,4,4,4
prm-4dbc982a4c31d7d8,problem-2ac3a772d4b2a706,stable_correct,1,essential,late,0.6818,26,817,4,1,4,4,4
prm-4dece02217f93500,problem-c0364fc64487e4ec,stable_correct,0,redundant,late,0.9375,21,710,4,1,4,4,4
prm-4f8665f0a19739c3,problem-48e7b5d5a1bb68e8,stable_correct,0,harmful,late,0.6800,35,826,4,1,4,4,4
prm-52cd0d7cc6b4cdfc,problem-0d469d0ece1c8db4,stable_correct,1,redundant,early,0.0455,21,320,4,1,4,4,4
prm-55383ac51f763ea4,problem-c4f4fd84bb522f70,stable_correct,-1,redundant,early,0.0667,29,300,4,1,4,4,4
prm-554fe1d6b58f094f,problem-de2d1c474b9ee450,stable_correct,0,harmful,late,0.6818,32,671,4,1,4,4,4
prm-5bd12286ca047ec0,problem-26def20db88cf572,stable_correct,1,essential,early,0.1875,41,505,4,1,4,4,4
prm-5c51e282ba7208e7,problem-a4a92af384d88e0b,stable_correct,0,harmful,middle,0.6364,26,464,4,1,4,4,4
prm-656a46c9640db820,problem-24b6ac402f7f606f,stable_correct,0,redundant,early,0.1000,31,351,4,1,4,4,4
prm-694eda0133adae37,problem-eb3187c38ab27028,stable_correct,0,redundant,middle,0.6429,21,620,4,1,4,4,4
prm-6a11cd36a6d48aac,problem-983cb8f8902a7887,stable_correct,0,essential,middle,0.4500,29,638,4,1,4,4,4
prm-6a6a0bdb19ba41d4,problem-5567e2ebab5e0f67,stable_correct,0,redundant,late,0.8235,24,744,4,1,4,4,4
prm-6a8171dd86016c13,problem-eb20fcfbc7fe587d,stable_correct,1,redundant,late,0.7059,12,724,4,1,4,4,4
prm-6b443c0ab9016cf3,problem-3e3197b5f708b626,stable_correct,0,redundant,middle,0.4286,53,464,4,1,4,4,4
prm-6d0334ee1141425e,problem-80883c8d718e7942,stable_correct,0,essential,late,0.7500,28,505,4,1,4,4,4
prm-6ee8687119787677,problem-9b85603bc31a2030,stable_correct,1,essential,early,0.0000,23,296,4,1,4,4,4
prm-734c17ddd0cff62a,problem-6c70163ce817add4,stable_correct,1,redundant,early,0.1667,24,401,4,1,4,4,4
prm-7449b3260474567e,problem-edc76d80b3d26c0a,stable_correct,1,essential,late,0.9091,49,882,4,1,4,4,4
prm-77a86cb6e4dfd1aa,problem-4ee4220e8bc8cdab,stable_correct,1,essential,middle,0.5000,30,364,4,1,4,4,4
prm-7b9dea52f656c0bc,problem-fdd18857dfc203ee,stable_correct,1,essential,middle,0.5714,24,403,4,1,4,4,4
prm-7df4ff373ff4bd62,problem-3bc30c4cda03ad05,stable_correct,1,redundant,middle,0.4000,27,464,4,1,4,4,4
prm-87593f72c0253cec,problem-32b099c0f5aec3b1,stable_correct,1,essential,middle,0.4211,30,597,4,1,4,4,4
prm-8acbcd62bf310d16,problem-07f83eec628533b9,stable_correct,1,essential,middle,0.3750,26,541,4,1,4,4,4
prm-8fb8c12bb402ec2d,problem-de0c58f09875d127,stable_correct,0,redundant,late,0.8750,45,519,4,1,4,4,4
prm-91db4cb8cb67916a,problem-0809a483e113340d,stable_correct,1,essential,early,0.3158,54,575,4,1,4,4,4
prm-92cd9c4d155c7994,problem-a54460c3eddba3c4,stable_correct,0,redundant,early,0.0000,31,286,4,1,4,4,4
prm-92e6c6de9151c528,problem-c16492850cbf8813,stable_correct,1,redundant,early,0.0000,32,294,4,1,4,4,4
prm-932de7bca0e7c93d,problem-42517366b010dd6b,stable_correct,0,essential,early,0.1562,30,460,4,1,4,4,4
prm-9b09489564767b9d,problem-fa8130795d8510ae,stable_correct,0,essential,early,0.2500,26,466,4,1,4,4,4
prm-9cdea0642dfb0680,problem-116237dfe3dbfe5a,stable_correct,0,redundant,middle,0.4800,41,606,4,1,4,4,4
prm-9e945c5a20713eba,problem-6a73c9a2c1ed843f,stable_correct,0,essential,late,0.9000,28,581,4,1,4,4,4
prm-9f8de872e85deb1c,problem-45e5f7656e796fc9,stable_correct,1,redundant,late,1.0000,32,654,4,1,4,4,4
prm-a0bf5d5817e64ebf,problem-e8bbc51e4f0cedba,stable_correct,1,essential,late,0.8261,39,807,4,1,4,4,4
prm-a33bd2bed39c0904,problem-afe7eeff1cb11ff9,stable_correct,1,redundant,early,0.2000,31,339,4,1,4,4,4
prm-a3a05daf8f16a52f,problem-4639686b328fdf30,stable_correct,0,essential,early,0.1379,23,495,4,1,4,4,4
prm-a4aa6a22f3134565,problem-a8c4001358470f25,stable_correct,0,redundant,late,0.8095,31,935,4,1,4,4,4
prm-a774fd18d4116fb7,problem-7f472ed5afd0fbc0,stable_correct,0,redundant,early,0.0000,12,284,4,1,4,4,4
